SECTOR F,Fermi Bubbles,,,,,ANALYSIS,
Regime,Count,Description,,,,,
F. Fermi Bubbles,10,Fermi Bubbles,,,,Cumulative,
Target Coordinate,RA,DEC,start_xyz,search_radius,Type,Closest OFFSET,0.02
16h42m03.83s +14d00m33.01s,0.413,172.5608,Trefoil Metric Schema,98.42,MATCH: NSC J164157+140018 (ClG),,
16h41m58.62s +14d00m43.09s,0.1887,43.9196,Minkowskian Baseline,33.2,MATCH: NSC J164157+140018 (ClG),,
16h41m59.64s +13d59m22.37s,0.2313,68.8344,Gasious Substrate Schema,66.14,MATCH: NSC J164157+140018 (ClG),,
16h42m00.55s +13d59m55.52s,0.2676,57.7221,Gasious Substrate Schema,54.23,MATCH: NSC J164157+140018 (ClG),,
16h41m56.22s +13d59m50.60s,0.2677,105.1121,Gasious Substrate Schema,30.29,MATCH: NSC J164157+140018 (ClG),,
16h42m02.88s +13d59m26.31s,0.2963,11.8797,Solenoidal Metric Schema (Iron),97.96,MATCH: NSC J164157+140018 (ClG),,
16h42m04.00s +14d00m05.36s,0.3475,226.6047,Helical Metric Schema,100.46,MATCH: NSC J164157+140018 (ClG),,
16h42m00.93s +14d01m01.89s,0.1998,144.6757,Minkowskian Baseline,70.56,MATCH: NSC J164157+140018 (ClG),,
16h42m03.69s +14d00m35.38s,0.2955,96.4668,Solenoidal Metric Schema (Iron),96.81,MATCH: NSC J164157+140018 (ClG),,
16h41m56.84s +14d00m00.71s,0.2885,47.2442,Solenoidal Metric Schema (Iron),17.58,MATCH: NSC J164157+140018 (ClG),,
16h41m57.77s +13d59m29.84s,0.3667,53.366,Trefoil Metric Schema,48.7,MATCH: NSC J164157+140018 (ClG),,
16h42m01.16s +13d59m38.83s,0.7549,282.381,Metric Spacetime Anomaly,70.12,MATCH: NSC J164157+140018 (ClG),,
16h41m59.87s +13d59m27.74s,0.3819,30.9971,Trefoil Metric Schema,63.74,MATCH: NSC J164157+140018 (ClG),,
16h41m56.17s +13d59m58.18s,0.1987,29.8943,Minkowskian Baseline,24.18,MATCH: NSC J164157+140018 (ClG),,
16h42m01.43s +13d59m21.31s,0.2172,12.1401,Minkowskian Baseline,84.03,MATCH: NSC J164157+140018 (ClG),,
16h42m00.59s +14d00m05.07s,0.2675,2.9046,Gasious Substrate Schema,51.64,MATCH: NSC J164157+140018 (ClG),,
16h41m56.81s +13d59m25.04s,0.244,99.0319,Gasious Substrate Schema,52.89,MATCH: NSC J164157+140018 (ClG),,
16h42m01.22s +13d59m26.84s,0.6992,20.2901,Metric Spacetime Anomaly,78.08,MATCH: NSC J164157+140018 (ClG),,
16h41m57.43s +14d00m07.57s,0.2282,76.554,Gasious Substrate Schema,10.92,MATCH: NSC J164157+140018 (ClG),,
16h41m59.82s +14d00m01.89s,0.2659,143.4968,Gasious Substrate Schema,41.95,MATCH: NSC J164157+140018 (ClG),,
16h42m01.36s +13d59m32.61s,0.3508,44.5859,Helical Metric Schema,76.08,MATCH: NSC J164157+140018 (ClG),,
16h42m00.28s +13d59m32.12s,0.2973,1.9216,Solenoidal Metric Schema (Iron),64.44,MATCH: NSC J164157+140018 (ClG),,
16h41m59.48s +13d59m41.45s,0.6215,184.3718,Localized Torsional Inflection,49.64,MATCH: NSC J164157+140018 (ClG),,
16h41m57.46s +13d59m56.77s,0.308,108.3955,Solenoidal Metric Schema (Iron),21.41,MATCH: NSC J164157+140018 (ClG),,
16h41m59.36s +14d00m08.87s,0.2127,62.4899,Minkowskian Baseline,33.35,MATCH: NSC J164157+140018 (ClG),,
16h42m00.05s +14d00m16.54s,0.8547,84.6398,Baryonic Metric Substrate,42.22,MATCH: NSC J164157+140018 (ClG),,
16h41m57.36s +14d00m11.19s,0.2314,105.5802,Gasious Substrate Schema,7.19,MATCH: NSC J164157+140018 (ClG),,
16h42m01.75s +14d00m52.71s,0.7777,266.9729,Metric Spacetime Anomaly,75.55,MATCH: NSC J164157+140018 (ClG),,
16h42m00.90s +14d00m53.99s,0.197,0.8345,Minkowskian Baseline,65.54,MATCH: NSC J164157+140018 (ClG),,
16h41m57.70s +13d59m58.77s,0.6179,22.4765,Metric Spacetime Anomaly,20.55,MATCH: NSC J164157+140018 (ClG),,
16h42m01.84s +14d00m03.33s,0.2797,76.5469,Gasious Substrate Schema,69.76,MATCH: NSC J164157+140018 (ClG),,
16h41m57.33s +14d00m14.83s,0.2605,170.2903,Gasious Substrate Schema,3.89,MATCH: NSC J164157+140018 (ClG),,
16h42m03.04s +14d00m03.59s,0.2421,2.2534,Gasious Substrate Schema,86.88,MATCH: NSC J164157+140018 (ClG),,
16h42m02.34s +14d00m21.29s,0.3597,167.8408,Helical Metric Schema,75.62,MATCH: NSC J164157+140018 (ClG),,
16h41m57.41s +13d59m36.37s,0.2371,25.601,Gasious Substrate Schema,41.5,MATCH: NSC J164157+140018 (ClG),,
16h41m59.94s +14d00m26.29s,0.3404,340.0999,Helical Metric Schema,41.5,MATCH: NSC J164157+140018 (ClG),,
16h42m01.78s +14d00m26.86s,0.4803,97.8669,Metric Spacetime Anomaly,68,MATCH: NSC J164157+140018 (ClG),,
16h42m00.17s +13d59m27.49s,0.4777,116.3504,Metric Spacetime Anomaly,66.73,MATCH: NSC J164157+140018 (ClG),,
16h41m56.57s +13d59m51.66s,0.3032,119.2055,Solenoidal Metric Schema (Iron),27.37,MATCH: NSC J164157+140018 (ClG),,
16h42m01.81s +13d59m48.38s,0.2526,25.2896,Gasious Substrate Schema,73.89,MATCH: NSC J164157+140018 (ClG),,
16h42m02.49s +13d59m32.81s,0.5158,251.721,Localized Torsional Inflection,89.75,MATCH: NSC J164157+140018 (ClG),,
16h41m56.14s +14d00m10.52s,0.2386,153.6515,Gasious Substrate Schema,16.36,MATCH: NSC J164157+140018 (ClG),,
16h41m59.74s +13d59m50.37s,0.2315,179.5039,Gasious Substrate Schema,46.56,MATCH: NSC J164157+140018 (ClG),,
16h42m04.12s +14d00m03.84s,0.3701,347.9176,Localized Torsional Inflection,102.39,MATCH: NSC J164157+140018 (ClG),,
16h41m57.06s +13d59m48.56s,0.4775,97.469,Metric Spacetime Anomaly,29.17,MATCH: NSC J164157+140018 (ClG),,
16h42m02.46s +14d00m10.71s,1.0685,287.8919,Baryonic Metric Substrate,77.6,MATCH: NSC J164157+140018 (ClG),,
16h41m57.36s +14d00m21.75s,0.2387,189.339,Gasious Substrate Schema,5.07,MATCH: NSC J164157+140018 (ClG),,
16h41m59.98s +13d59m27.68s,0.2313,291.8075,Gasious Substrate Schema,64.8,MATCH: NSC J164157+140018 (ClG),,
16h41m58.21s +14d00m10.51s,0.2835,15.5913,Solenoidal Metric Schema (Iron),17.02,MATCH: NSC J164157+140018 (ClG),,
16h41m57.56s +13d59m48.51s,0.2206,24.7484,Gasious Substrate Schema,29.79,MATCH: NSC J164157+140018 (ClG),,
16h41m56.50s +14d00m33.29s,0.348,26.3343,Helical Metric Schema,18.24,MATCH: NSC J164157+140018 (ClG),,
16h41m58.65s +13d59m50.47s,0.3827,48.9251,Trefoil Metric Schema,34.9,MATCH: NSC J164157+140018 (ClG),,
16h41m57.99s +14d00m49.66s,0.4209,129.4466,Trefoil Metric Schema,34.22,MATCH: NSC J164157+140018 (ClG),,
16h42m01.12s +14d00m28.82s,0.2812,134.3278,Solenoidal Metric Schema (Iron),58.84,MATCH: NSC J164157+140018 (ClG),,
16h41m56.77s +14d00m31.91s,0.243,16.8419,Gasious Substrate Schema,15.25,MATCH: NSC J164157+140018 (ClG),,
16h41m59.11s +13d59m22.02s,0.5289,42.2195,Metric Spacetime Anomaly,62.56,MATCH: NSC J164157+140018 (ClG),,
16h42m00.21s +13d59m56.59s,0.2458,94.9375,Gasious Substrate Schema,49.29,MATCH: NSC J164157+140018 (ClG),,
16h41m57.87s +13d59m27.33s,0.1992,345.5706,Minkowskian Baseline,51.45,MATCH: NSC J164157+140018 (ClG),,
16h42m02.28s +14d00m01.46s,0.2753,26.3638,Gasious Substrate Schema,76.41,MATCH: NSC J164157+140018 (ClG),,
16h41m58.31s +14d00m21.33s,0.2082,26.7847,Minkowskian Baseline,17.27,MATCH: NSC J164157+140018 (ClG),,
16h42m00.09s +14d00m09.95s,0.4036,118.921,Localized Torsional Inflection,43.49,MATCH: NSC J164157+140018 (ClG),,
16h42m01.31s +14d00m19.26s,0.3093,105.7283,Solenoidal Metric Schema (Iron),60.57,MATCH: NSC J164157+140018 (ClG),,
16h41m58.68s +13d59m28.04s,0.3063,53.21,Solenoidal Metric Schema (Iron),54.42,MATCH: NSC J164157+140018 (ClG),,
16h41m58.40s +13d59m54.35s,0.3588,163.4686,Helical Metric Schema,29.6,MATCH: NSC J164157+140018 (ClG),,
16h42m03.04s +13d59m25.72s,0.1894,70.4555,Minkowskian Baseline,100.25,MATCH: NSC J164157+140018 (ClG),,
16h42m00.87s +13d59m52.47s,0.2036,111.4779,Minkowskian Baseline,59.73,MATCH: NSC J164157+140018 (ClG),,
16h41m59.03s +14d00m03.39s,0.3521,36.1075,Helical Metric Schema,30.88,MATCH: NSC J164157+140018 (ClG),,
16h41m57.20s +14d00m47.38s,0.2426,32.4535,Gasious Substrate Schema,29.69,MATCH: NSC J164157+140018 (ClG),,
16h41m59.05s +13d59m55.21s,0.2932,60.0912,Solenoidal Metric Schema (Iron),35.64,MATCH: NSC J164157+140018 (ClG),,
16h42m01.70s +14d00m19.85s,0.3127,12.731,Solenoidal Metric Schema (Iron),66.26,MATCH: NSC J164157+140018 (ClG),,
16h41m57.16s +13d59m41.69s,0.2464,22.7138,Gasious Substrate Schema,36.01,MATCH: NSC J164157+140018 (ClG),,
16h42m02.42s +14d00m24.52s,0.5557,357.0833,Metric Spacetime Anomaly,77,MATCH: NSC J164157+140018 (ClG),,
16h42m00.70s +13d59m08.15s,0.3523,34.9383,Helical Metric Schema,83.33,MATCH: SDSSCGB 14281.3 (G),,
16h41m57.65s +14d00m10.25s,0.3498,2.4132,Helical Metric Schema,10.41,MATCH: NSC J164157+140018 (ClG),,
16h41m58.87s +13d59m29.19s,0.2485,45.3198,Gasious Substrate Schema,54.59,MATCH: NSC J164157+140018 (ClG),,
16h42m01.79s +13d59m36.99s,0.3024,23.7188,Solenoidal Metric Schema (Iron),78.85,MATCH: NSC J164157+140018 (ClG),,
16h42m03.68s +13d59m40.16s,0.2673,99.5279,Gasious Substrate Schema,102.19,MATCH: NSC J164157+140018 (ClG),,
16h41m58.28s +14d00m24.49s,0.3806,42.8921,Trefoil Metric Schema,17.79,MATCH: NSC J164157+140018 (ClG),,
16h42m01.11s +13d59m36.31s,0.3725,67.6216,Trefoil Metric Schema,70.96,MATCH: NSC J164157+140018 (ClG),,
16h42m01.50s +14d00m41.65s,0.5856,12.6748,Metric Spacetime Anomaly,67.69,MATCH: NSC J164157+140018 (ClG),,
16h41m59.25s +14d00m42.86s,0.1912,147.6408,Minkowskian Baseline,39.59,MATCH: NSC J164157+140018 (ClG),,
16h42m02.62s +14d00m24.66s,0.3597,40.6047,Helical Metric Schema,79.91,MATCH: NSC J164157+140018 (ClG),,
16h42m01.18s +13d59m30.68s,0.5997,39.8452,Metric Spacetime Anomaly,75.17,MATCH: NSC J164157+140018 (ClG),,
16h41m58.54s +13d59m09.72s,0.2392,12.7973,Gasious Substrate Schema,70.93,MATCH: NSC J164157+140018 (ClG),,
16h41m58.39s +14d00m09.33s,0.3481,12.3069,Helical Metric Schema,19.89,MATCH: NSC J164157+140018 (ClG),,
16h42m01.54s +13d59m36.35s,0.3973,20.9634,Trefoil Metric Schema,76.11,MATCH: NSC J164157+140018 (ClG),,
16h41m57.46s +14d00m05.00s,0.5617,5.9595,Metric Spacetime Anomaly,13.48,MATCH: NSC J164157+140018 (ClG),,
16h42m03.72s +14d00m10.92s,0.4186,38.2071,Trefoil Metric Schema,95.86,MATCH: NSC J164157+140018 (ClG),,
16h42m02.17s +13d59m17.90s,0.4412,80.1698,Localized Torsional Inflection,94.42,MATCH: NSC J164157+140018 (ClG),,
16h41m59.87s +13d59m29.23s,0.1944,72.7645,Minkowskian Baseline,62.58,MATCH: NSC J164157+140018 (ClG),,
16h41m56.48s +14d00m27.17s,0.3189,32.4907,Solenoidal Metric Schema (Iron),13.59,MATCH: NSC J164157+140018 (ClG),,
16h41m58.15s +13d59m33.34s,0.5278,24.6603,Metric Spacetime Anomaly,46.69,MATCH: NSC J164157+140018 (ClG),,
16h41m59.68s +13d59m42.99s,1.0648,169.908,Localized Torsional Inflection,50.6,MATCH: NSC J164157+140018 (ClG),,
16h41m57.86s +14d00m25.46s,0.4728,3.7705,Metric Spacetime Anomaly,12.92,MATCH: NSC J164157+140018 (ClG),,
16h42m01.63s +13d59m55.96s,0.3799,62.002,Trefoil Metric Schema,68.73,MATCH: NSC J164157+140018 (ClG),,
16h41m59.63s +14d00m28.04s,0.292,103.0666,Solenoidal Metric Schema (Iron),37.55,MATCH: NSC J164157+140018 (ClG),,
16h41m56.10s +14d00m12.16s,0.605,11.164,Metric Spacetime Anomaly,16.26,MATCH: NSC J164157+140018 (ClG),,
16h41m58.19s +14d00m01.96s,0.2272,36.425,Gasious Substrate Schema,21.84,MATCH: NSC J164157+140018 (ClG),,
16h41m56.62s +13d59m59.51s,0.7915,62.3232,Metric Spacetime Anomaly,19.76,MATCH: NSC J164157+140018 (ClG),,
16h42m01.37s +14d00m17.17s,0.2596,54.2059,Gasious Substrate Schema,61.42,MATCH: NSC J164157+140018 (ClG),,
16h41m58.66s +13d59m26.46s,0.2419,30.1798,Gasious Substrate Schema,55.75,MATCH: NSC J164157+140018 (ClG),,
16h41m59.90s +13d59m31.49s,0.6371,78.0914,Metric Spacetime Anomaly,61.13,MATCH: NSC J164157+140018 (ClG),,
16h42m03.08s +13d59m33.01s,0.2078,4.5949,Minkowskian Baseline,97.19,MATCH: NSC J164157+140018 (ClG),,
16h41m57.87s +14d00m26.14s,0.2235,6.0631,Gasious Substrate Schema,13.46,MATCH: NSC J164157+140018 (ClG),,
16h41m59.91s +14d00m24.79s,0.1778,74.1833,Minkowskian Baseline,40.79,MATCH: NSC J164157+140018 (ClG),,
16h41m59.89s +14d00m03.52s,1.9959,50.1572,Spacetime Curvature Limit (Black Hole),42.32,MATCH: NSC J164157+140018 (ClG),,
16h41m59.34s +14d00m29.37s,0.2012,101.733,Minkowskian Baseline,33.94,MATCH: NSC J164157+140018 (ClG),,
16h42m00.04s +14d00m42.62s,0.3306,74.7602,Helical Metric Schema,48.89,MATCH: NSC J164157+140018 (ClG),,
16h42m04.05s +13d59m44.80s,0.2285,68.9082,Gasious Substrate Schema,105.68,MATCH: NSC J164157+140018 (ClG),,
16h41m58.31s +14d00m36.80s,0.1662,280.4022,Minkowskian Baseline,25.49,MATCH: NSC J164157+140018 (ClG),,
16h42m00.37s +13d59m45.37s,0.4591,34.3534,Metric Spacetime Anomaly,56.93,MATCH: NSC J164157+140018 (ClG),,
16h42m02.79s +14d00m15.88s,0.3699,294.3912,Trefoil Metric Schema,82.11,MATCH: NSC J164157+140018 (ClG),,
16h42m03.00s +14d00m00.20s,0.1941,102.3698,Minkowskian Baseline,86.92,MATCH: NSC J164157+140018 (ClG),,
16h42m00.93s +13d59m11.81s,0.4135,77.5394,Trefoil Metric Schema,85.84,MATCH: NSC J164157+140018 (ClG),,
16h41m58.14s +13d59m50.71s,0.2939,9.6214,Solenoidal Metric Schema (Iron),30.6,MATCH: NSC J164157+140018 (ClG),,
16h42m01.80s +14d00m21.27s,0.3369,131.982,Helical Metric Schema,67.77,MATCH: NSC J164157+140018 (ClG),,
16h42m04.37s +14d00m00.41s,0.5393,210.0863,Localized Torsional Inflection,106.49,MATCH: NSC J164157+140018 (ClG),,
16h42m00.70s +14d00m31.13s,1.5123,4.2872,Metric Spacetime Anomaly,53.38,MATCH: NSC J164157+140018 (ClG),,
16h41m57.33s +14d00m16.92s,1.3037,46.1335,Metric Spacetime Anomaly,2.73,MATCH: NSC J164157+140018 (ClG),,
16h41m59.31s +13d59m53.34s,0.2748,14.4348,Gasious Substrate Schema,39.77,MATCH: NSC J164157+140018 (ClG),,
16h41m59.51s +14d00m38.34s,0.2015,13.9642,Minkowskian Baseline,40.07,MATCH: NSC J164157+140018 (ClG),,
16h42m00.14s +13d59m36.48s,0.2513,11.6015,Gasious Substrate Schema,59.94,MATCH: NSC J164157+140018 (ClG),,
16h42m01.88s +13d59m20.90s,0.2321,93.5909,Gasious Substrate Schema,89.25,MATCH: NSC J164157+140018 (ClG),,
16h42m00.24s +14d00m06.12s,0.5251,120.5347,Metric Spacetime Anomaly,46.44,MATCH: NSC J164157+140018 (ClG),,
16h41m57.05s +14d00m12.61s,0.3477,47.5155,Helical Metric Schema,5.29,MATCH: NSC J164157+140018 (ClG),,
16h42m03.18s +13d59m40.34s,0.4116,76.2273,Trefoil Metric Schema,95.38,MATCH: NSC J164157+140018 (ClG),,
16h41m58.26s +13d59m15.54s,0.3843,123.1782,Trefoil Metric Schema,64.23,MATCH: NSC J164157+140018 (ClG),,
16h41m59.84s +14d00m11.45s,0.1963,111.2462,Minkowskian Baseline,39.65,MATCH: NSC J164157+140018 (ClG),,
16h42m01.74s +13d59m30.44s,0.2981,25.6727,Solenoidal Metric Schema (Iron),81.83,MATCH: NSC J164157+140018 (ClG),,
16h41m58.18s +14d00m07.99s,0.4848,26.8669,Metric Spacetime Anomaly,17.86,MATCH: NSC J164157+140018 (ClG),,
16h41m56.67s +13d59m31.15s,0.2463,17.0896,Gasious Substrate Schema,47.07,MATCH: NSC J164157+140018 (ClG),,
16h42m00.73s +14d00m34.20s,0.8899,220.8625,Baryonic Metric Substrate,54.65,MATCH: NSC J164157+140018 (ClG),,
16h42m01.39s +13d59m05.35s,0.4054,7.7234,Trefoil Metric Schema,81.94,MATCH: SDSSCGB 14281.3 (G),,
16h41m58.62s +13d59m26.73s,0.266,109.4431,Gasious Substrate Schema,55.28,MATCH: NSC J164157+140018 (ClG),,
16h42m02.00s +14d00m53.65s,0.2157,74.8942,Minkowskian Baseline,79.21,MATCH: NSC J164157+140018 (ClG),,
16h42m03.84s +13d59m52.96s,0.3853,48.134,Trefoil Metric Schema,100.46,MATCH: NSC J164157+140018 (ClG),,
16h42m00.06s +13d59m46.22s,0.2101,208.4489,Minkowskian Baseline,52.77,MATCH: NSC J164157+140018 (ClG),,
16h41m57.09s +14d00m11.63s,0.2219,196.2997,Localized Torsional Inflection,6.13,MATCH: NSC J164157+140018 (ClG),,
16h42m00.14s +14d00m26.89s,0.4428,266.993,Trefoil Metric Schema,44.48,MATCH: NSC J164157+140018 (ClG),,
16h42m03.03s +13d59m32.10s,0.2096,77.5244,Minkowskian Baseline,96.97,MATCH: NSC J164157+140018 (ClG),,
16h41m57.79s +14d00m31.27s,0.3196,4.3597,Solenoidal Metric Schema (Iron),16.46,MATCH: NSC J164157+140018 (ClG),,
16h42m04.14s +14d00m01.73s,0.1996,167.529,Minkowskian Baseline,102.98,MATCH: NSC J164157+140018 (ClG),,
16h41m57.90s +14d00m54.41s,0.7186,120.1128,Metric Spacetime Anomaly,38.3,MATCH: NSC J164157+140018 (ClG),,
16h41m57.26s +13d59m14.61s,0.2907,135.9143,Solenoidal Metric Schema (Iron),63.11,MATCH: NSC J164157+140018 (ClG),,
16h41m58.65s +14d00m40.73s,0.3395,112.491,Helical Metric Schema,31.73,MATCH: NSC J164157+140018 (ClG),,
16h41m59.37s +14d00m03.95s,0.241,3.1396,Gasious Substrate Schema,35.11,MATCH: NSC J164157+140018 (ClG),,
16h41m57.37s +14d00m09.04s,0.3132,93.309,Solenoidal Metric Schema (Iron),9.23,MATCH: NSC J164157+140018 (ClG),,
16h41m59.77s +14d00m42.69s,0.2007,67.1599,Minkowskian Baseline,45.59,MATCH: NSC J164157+140018 (ClG),,
16h41m56.36s +13d59m57.50s,0.2826,284.9874,Localized Torsional Inflection,23.24,MATCH: NSC J164157+140018 (ClG),,
16h41m58.81s +13d59m52.15s,0.4481,139.6888,Trefoil Metric Schema,35.16,MATCH: NSC J164157+140018 (ClG),,
16h42m02.82s +14d00m22.34s,0.4269,0.7153,Trefoil Metric Schema,82.65,MATCH: NSC J164157+140018 (ClG),,
16h42m00.79s +13d59m41.29s,0.2114,373.0697,Minkowskian Baseline,64.28,MATCH: NSC J164157+140018 (ClG),,
16h41m59.82s +13d59m40.17s,0.2934,65.7963,Solenoidal Metric Schema (Iron),54.02,MATCH: NSC J164157+140018 (ClG),,
16h42m00.48s +14d00m39.64s,0.4248,90.4245,Trefoil Metric Schema,53.2,MATCH: NSC J164157+140018 (ClG),,
16h41m58.92s +14d00m28.79s,0.2516,109.8878,Gasious Substrate Schema,28.05,MATCH: NSC J164157+140018 (ClG),,
16h41m58.32s +14d00m29.69s,0.6517,28.1184,Metric Spacetime Anomaly,20.83,MATCH: NSC J164157+140018 (ClG),,
16h42m02.35s +14d00m30.85s,0.6079,76.5755,Metric Spacetime Anomaly,76.81,MATCH: NSC J164157+140018 (ClG),,
16h41m59.55s +13d59m21.11s,0.4215,156.462,Trefoil Metric Schema,66.5,MATCH: NSC J164157+140018 (ClG),,
16h41m56.65s +14d00m02.69s,0.2203,0.8723,Gasious Substrate Schema,16.68,MATCH: NSC J164157+140018 (ClG),,
16h41m58.26s +14d00m21.51s,0.2702,32.7449,Gasious Substrate Schema,16.6,MATCH: NSC J164157+140018 (ClG),,
16h42m02.54s +13d59m26.53s,0.3613,16.7299,Trefoil Metric Schema,93.66,MATCH: NSC J164157+140018 (ClG),,
16h41m59.46s +14d00m06.67s,0.2517,7.9161,Gasious Substrate Schema,35.38,MATCH: NSC J164157+140018 (ClG),,
16h41m59.42s +13d59m53.64s,0.26,147.6988,Gasious Substrate Schema,40.87,MATCH: NSC J164157+140018 (ClG),,
16h42m00.86s +13d59m35.02s,0.389,65.8173,Trefoil Metric Schema,68.83,MATCH: NSC J164157+140018 (ClG),,
16h41m59.09s +13d59m08.68s,0.2518,74.2407,Gasious Substrate Schema,74.57,MATCH: NSC J164157+140018 (ClG),,
16h41m58.25s +13d59m50.39s,0.4196,83.9503,Localized Torsional Inflection,31.66,MATCH: NSC J164157+140018 (ClG),,
16h42m00.49s +14d00m17.79s,0.2165,149.327,Minkowskian Baseline,48.61,MATCH: NSC J164157+140018 (ClG),,
16h42m01.54s +14d00m12.50s,0.2688,54.639,Gasious Substrate Schema,64.1,MATCH: NSC J164157+140018 (ClG),,
16h42m03.29s +13d59m36.04s,0.4724,148.876,Metric Spacetime Anomaly,98.6,MATCH: NSC J164157+140018 (ClG),,
16h41m59.47s +14d00m50.14s,0.4715,206.3247,Localized Torsional Inflection,46.82,MATCH: NSC J164157+140018 (ClG),,
16h42m01.32s +14d00m34.66s,0.4322,82.1718,Trefoil Metric Schema,63.02,MATCH: NSC J164157+140018 (ClG),,
16h42m00.85s +13d59m33.32s,0.3149,37.354,Solenoidal Metric Schema (Iron),69.78,MATCH: NSC J164157+140018 (ClG),,
16h41m58.34s +14d00m44.66s,0.2863,10.5604,Solenoidal Metric Schema (Iron),32.04,MATCH: NSC J164157+140018 (ClG),,
16h41m56.40s +13d59m35.75s,0.306,96.9369,Solenoidal Metric Schema (Iron),43.35,MATCH: NSC J164157+140018 (ClG),,
16h42m01.05s +13d59m40.79s,0.2054,200.6446,Minkowskian Baseline,67.71,MATCH: NSC J164157+140018 (ClG),,
16h41m56.55s +13d59m34.95s,0.3083,22.6232,Solenoidal Metric Schema (Iron),43.63,MATCH: NSC J164157+140018 (ClG),,
16h41m58.65s +13d59m32.70s,0.2052,84.2528,Minkowskian Baseline,50.02,MATCH: NSC J164157+140018 (ClG),,
16h41m59.37s +13d59m14.74s,0.254,13.0584,Gasious Substrate Schema,70.77,MATCH: NSC J164157+140018 (ClG),,
16h41m59.83s +13d59m47.21s,0.2613,10.3281,Gasious Substrate Schema,49.51,MATCH: NSC J164157+140018 (ClG),,
16h42m01.61s +14d00m05.60s,0.3271,45.7632,Helical Metric Schema,66.03,MATCH: NSC J164157+140018 (ClG),,
16h41m59.84s +13d59m59.28s,0.2748,4.8021,Gasious Substrate Schema,43.27,MATCH: NSC J164157+140018 (ClG),,
16h41m57.07s +13d59m25.21s,0.3238,36.1136,Helical Metric Schema,52.5,MATCH: NSC J164157+140018 (ClG),,
16h42m02.45s +14d00m18.86s,0.2699,64.7707,Gasious Substrate Schema,77.15,MATCH: NSC J164157+140018 (ClG),,
16h41m59.62s +14d00m01.57s,0.2401,13.9169,Gasious Substrate Schema,39.4,MATCH: NSC J164157+140018 (ClG),,
16h41m59.30s +13d59m54.18s,0.2469,1.4676,Gasious Substrate Schema,39.15,MATCH: NSC J164157+140018 (ClG),,
16h41m57.44s +13d59m54.42s,0.3121,160.4229,Solenoidal Metric Schema (Iron),23.66,MATCH: NSC J164157+140018 (ClG),,
16h42m02.79s +13d59m43.44s,0.22,58.9377,Minkowskian Baseline,88.95,MATCH: NSC J164157+140018 (ClG),,
16h41m59.29s +13d59m58.12s,0.8365,11.4221,Baryonic Metric Substrate,36.79,MATCH: NSC J164157+140018 (ClG),,
16h41m59.70s +14d00m03.78s,0.3092,75.3046,Solenoidal Metric Schema (Iron),39.64,MATCH: NSC J164157+140018 (ClG),,
16h41m57.95s +13d59m51.35s,0.2903,88.8892,Solenoidal Metric Schema (Iron),28.81,MATCH: NSC J164157+140018 (ClG),,
16h42m02.26s +14d00m01.98s,0.1714,183.1436,Minkowskian Baseline,76.02,MATCH: NSC J164157+140018 (ClG),,
16h42m01.59s +14d00m30.34s,0.3049,235.4439,Localized Torsional Inflection,65.84,MATCH: NSC J164157+140018 (ClG),,
16h41m57.33s +14d00m02.61s,0.1768,117.0712,Minkowskian Baseline,15.32,MATCH: NSC J164157+140018 (ClG),,
16h42m03.25s +14d00m01.66s,0.2704,173.8817,Gasious Substrate Schema,90.22,MATCH: NSC J164157+140018 (ClG),,
16h41m58.78s +13d59m36.10s,0.2163,51.1277,Minkowskian Baseline,47.89,MATCH: NSC J164157+140018 (ClG),,
16h41m58.25s +14d00m35.82s,0.5673,101.2032,Metric Spacetime Anomaly,24.18,MATCH: NSC J164157+140018 (ClG),,
16h41m58.23s +13d59m51.69s,0.2301,217.4343,Gasious Substrate Schema,30.39,MATCH: NSC J164157+140018 (ClG),,
16h41m58.39s +14d00m24.73s,0.5771,8.0913,Metric Spacetime Anomaly,19.37,MATCH: NSC J164157+140018 (ClG),,
16h41m57.15s +14d00m12.70s,0.2231,15.6658,Gasious Substrate Schema,5,MATCH: NSC J164157+140018 (ClG),,
16h42m03.60s +14d00m23.10s,0.2056,109.7992,Minkowskian Baseline,94.03,MATCH: NSC J164157+140018 (ClG),,
16h42m01.60s +13d59m17.20s,0.2344,472.4861,Localized Torsional Inflection,88.63,MATCH: NSC J164157+140018 (ClG),,
16h41m58.10s +14d00m10.84s,0.2094,23.1241,Minkowskian Baseline,15.43,MATCH: NSC J164157+140018 (ClG),,
16h41m56.45s +14d00m10.50s,0.3057,41.1841,Solenoidal Metric Schema (Iron),12.48,MATCH: NSC J164157+140018 (ClG),,
16h41m58.84s +14d00m23.26s,0.2614,30.8913,Gasious Substrate Schema,25.22,MATCH: NSC J164157+140018 (ClG),,
16h41m58.20s +14d00m42.24s,0.513,9.9781,Metric Spacetime Anomaly,28.91,MATCH: NSC J164157+140018 (ClG),,
16h42m00.85s +14d00m08.25s,0.4571,61.2259,Metric Spacetime Anomaly,54.67,MATCH: NSC J164157+140018 (ClG),,
16h41m57.69s +13d59m13.54s,1.7171,147.2669,Spacetime Curvature Limit (Black Hole),64.64,MATCH: NSC J164157+140018 (ClG),,
16h42m02.17s +13d59m59.01s,0.21,51.0115,Minkowskian Baseline,75.42,MATCH: NSC J164157+140018 (ClG),,
