SECTOR A,,,,,,ANALYSIS,,,,,,,,,
TA1,,,,,,,,,,,,,,,
--- SYSTEM REDIRECT ACTIVE: ALL SCANS WILL BE SAVED ---,,,,,,Cumulative,,,,,,,,,
--- IMAGE REDIRECT ACTIVE ---,,,,,,Closest OFFSET,0.02,,,,,,,,
--- INITIATING VOLUMETRIC METRIC SCAN ---,,,,,,Average OFFSET,53.3187509,,,,,,,,
"Target: RA 17.761, DEC -29.008",,,,,,Max OFFSET,294.59,,,,,,,,
Depth: 26000 XYZ,Radius: 10,,,,,Number of Close Matches(OFFSET < 1 arcsecond),846,,,,,,,,
Scanning Volume... Sampling 418 points.,,,,,,No SIMBAD Match,422,,,,,,,,
Structure Detected: 418 metric nodes.,,,,,,Accuracy Rate,97.74%,Standard Distribution ,2.770341059,Coefficient of Variation,70.43836306,, ,,
FULL SIMBAD REALITY CHECK - ALL NODES,,,,,,,,,,,,,,,
PREDICTED COORDINATES,MODE (m),HELICITY,PREDICTED IDENTITY,OFFSET,REALITY CHECK,Structure Type,Count,Average offset by Structure Type,Coefficient of Variation by type,Standard Distribution by type,,Lens Candiate,Tag,Predictied Identity,KEY
03h19m44.02s +41d30m42.63s,0.3188,57.5874,Solenoidal Metric Schema (Iron),16.1,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m41.78s +41d30m37.24s,0.2666,8.7553,Gasious Substrate Schema,0.69,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m42.60s +41d30m26.77s,0.3639,9.4774,Trefoil Metric Schema,13.83,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
03h19m42.59s +41d31m04.97s,0.2528,9.8435,Gasious Substrate Schema,22.16,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m41.75s +41d30m24.34s,0.6141,137.3548,Localized Torsional Inflection,12.35,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
03h19m42.03s +41d30m28.32s,0.2682,12.9435,Gasious Substrate Schema,8.97,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m44.03s +41d31m12.58s,0.2494,90.7751,Gasious Substrate Schema,14.89,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m41.79s +41d30m44.95s,0.2336,21.3806,Gasious Substrate Schema,8.28,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m45.66s +41d30m25.67s,0.3188,32.8426,Solenoidal Metric Schema (Iron),20.86,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
03h19m45.97s +41d30m25.14s,0.2425,10.5788,Gasious Substrate Schema,20.14,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m46.18s +41d30m28.78s,1.7723,56.9783,Spacetime Curvature Limit (Black Hole),16.53,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Spacetime Curvature Limit (Black Hole),
03h19m45.96s +41d31m17.77s,0.4822,12.5544,Metric Spacetime Anomaly,15.91,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
03h19m41.84s +41d31m06.25s,0.4869,320.6509,Metric Spacetime Anomaly,21.59,MATCH: GALEXASC J031939.68+413105.6 (G),,,,,,,-,GALAXY/CLUSTER,Metric Spacetime Anomaly,
03h19m46.17s +41d31m15.58s,0.409,2.6011,Trefoil Metric Schema,13.74,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
03h19m43.86s +41d30m41.75s,0.2879,353.2138,Solenoidal Metric Schema (Iron),17.55,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m45.01s +41d31m03.80s,0.2972,98.6348,Solenoidal Metric Schema (Iron),8.5,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m44.58s +41d30m36.33s,0.2251,89.0641,Gasious Substrate Schema,21.28,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m45.29s +41d30m49.47s,0.4001,9.3519,Trefoil Metric Schema,12.1,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
03h19m45.61s +41d30m25.78s,0.221,203.1632,Gasious Substrate Schema,20.96,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m43.42s +41d31m01.47s,0.5321,410.1114,Localized Torsional Inflection,12.21,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
03h19m46.82s +41d30m16.33s,0.7114,206.4366,Metric Spacetime Anomaly,14.6,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Metric Spacetime Anomaly,
03h19m47.11s +41d30m25.91s,0.6339,47.5911,Metric Spacetime Anomaly,20.04,MATCH: NGC  1275 (Sy2),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m45.28s +41d30m49.80s,0.7301,100.6343,Metric Spacetime Anomaly,12.29,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m44.40s +41d30m24.18s,0.2849,41.9903,Solenoidal Metric Schema (Iron),26.29,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Solenoidal Metric Schema (Iron),
03h19m41.96s +41d31m11.68s,0.2363,136.5684,Gasious Substrate Schema,24.83,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m46.67s +41d30m36.08s,0.5206,48.0912,Metric Spacetime Anomaly,10.08,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
03h19m45.89s +41d30m24.01s,0.3147,33.1776,Solenoidal Metric Schema (Iron),19.05,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Solenoidal Metric Schema (Iron),
03h19m41.72s +41d30m23.24s,0.2709,196.1559,Gasious Substrate Schema,13.45,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m46.32s +41d30m42.13s,0.1971,311.0449,Minkowskian Baseline,3.14,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m41.08s +41d30m51.45s,0.3299,63.6419,Helical Metric Schema,14.84,MATCH: GALEXASC J031939.68+413105.6 (G),,,,,,,-,GALAXY/CLUSTER,Helical Metric Schema,
03h19m47.29s +41d30m35.55s,0.2855,14.5514,Solenoidal Metric Schema (Iron),11.77,MATCH: NGC  1275 (Sy2),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m44.62s +41d30m13.62s,0.2519,28.07,Gasious Substrate Schema,17.74,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m45.73s +41d30m35.82s,0.2879,184.9095,Solenoidal Metric Schema (Iron),11.4,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
03h19m45.36s +41d30m49.06s,0.2206,48.4272,Gasious Substrate Schema,11.22,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m46.06s +41d31m02.29s,0.1825,134.1997,Minkowskian Baseline,0.39,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m45.27s +41d30m22.66s,0.3379,8.7089,Helical Metric Schema,19.47,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Helical Metric Schema,
03h19m42.29s +41d30m32.95s,0.2818,2.3391,Solenoidal Metric Schema (Iron),7.2,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m44.24s +41d30m29.80s,0.378,56.3086,Trefoil Metric Schema,27.82,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
03h19m43.31s +41d31m18.29s,0.3199,254.0139,Solenoidal Metric Schema (Iron),9.75,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Solenoidal Metric Schema (Iron),
03h19m42.88s +41d30m50.28s,0.2904,84.9902,Solenoidal Metric Schema (Iron),18.65,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m44.24s +41d30m29.18s,1.0674,287.4685,Baryonic Metric Substrate,28.17,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Baryonic Metric Substrate,
03h19m43.70s +41d30m21.78s,0.2598,86.345,Gasious Substrate Schema,26.57,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m45.88s +41d30m17.33s,0.2873,14.5752,Solenoidal Metric Schema (Iron),12.4,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Solenoidal Metric Schema (Iron),
03h19m46.75s +41d30m50.03s,1.6634,54.5626,Spacetime Curvature Limit (Black Hole),5.74,MATCH: [GFS2006] 8 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Spacetime Curvature Limit (Black Hole),
03h19m45.92s +41d30m41.04s,0.1908,1.8354,Minkowskian Baseline,6,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m45.31s +41d30m10.72s,0.2123,87.2916,Minkowskian Baseline,9.63,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Minkowskian Baseline,
03h19m44.21s +41d31m20.41s,0.2955,18.5689,Solenoidal Metric Schema (Iron),8.73,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Solenoidal Metric Schema (Iron),
03h19m47.52s +41d30m21.49s,0.2423,241.4909,Gasious Substrate Schema,19.14,MATCH: SN 1968A (SN*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m46.85s +41d30m42.38s,0.5029,25.1685,Metric Spacetime Anomaly,6.65,MATCH: [GFS2006] 8 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
03h19m44.09s +41d31m21.40s,0.4926,202.553,Metric Spacetime Anomaly,7.11,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Metric Spacetime Anomaly,
03h19m41.92s +41d30m29.23s,0.2287,152.8946,Gasious Substrate Schema,7.72,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m42.52s +41d30m24.03s,0.3582,75.7435,Helical Metric Schema,15.38,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m43.32s +41d31m00.42s,0.3071,45.0638,Solenoidal Metric Schema (Iron),13.05,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m44.97s +41d30m44.39s,0.3349,150.5068,Helical Metric Schema,14.71,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m45.15s +41d30m53.52s,0.2349,348.9622,Gasious Substrate Schema,8.92,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m44.07s +41d31m07.15s,0.2171,5.0078,Minkowskian Baseline,10.2,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m47.47s +41d30m27.85s,0.6876,83.147,Metric Spacetime Anomaly,16.23,MATCH: NGC  1275 (Sy2),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m42.80s +41d30m26.38s,0.2618,160.9383,Gasious Substrate Schema,15.73,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m46.01s +41d31m09.35s,0.2847,26.8302,Solenoidal Metric Schema (Iron),7.47,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
03h19m42.27s +41d30m50.30s,0.233,217.9498,Gasious Substrate Schema,14.84,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m45.51s +41d30m35.49s,0.2416,19.6237,Gasious Substrate Schema,13.19,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m43.69s +41d30m59.32s,0.3583,47.4712,Helical Metric Schema,8.77,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m46.11s +41d30m18.93s,0.3945,44.5558,Trefoil Metric Schema,13.98,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Trefoil Metric Schema,
03h19m44.86s +41d31m09.30s,0.2542,50.5053,Gasious Substrate Schema,12.21,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m44.40s +41d30m22.53s,0.316,84.0286,Localized Torsional Inflection,25.11,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Localized Torsional Inflection,
03h19m42.36s +41d31m09.49s,0.6681,49.2055,Metric Spacetime Anomaly,23.09,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Metric Spacetime Anomaly,
03h19m44.33s +41d31m02.73s,0.2869,29.4874,Solenoidal Metric Schema (Iron),5,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m44.47s +41d30m12.99s,0.2272,24.6478,Gasious Substrate Schema,18.95,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m46.33s +41d31m02.48s,0.4438,95.0538,Trefoil Metric Schema,3.09,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
03h19m43.87s +41d30m50.66s,0.3483,74.5622,Helical Metric Schema,9.86,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m43.61s +41d30m47.55s,0.2019,151.2826,Minkowskian Baseline,14.12,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m47.39s +41d31m04.85s,0.3298,31.2083,Helical Metric Schema,8.4,MATCH: [GFS2006] 3 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
03h19m43.39s +41d30m38.62s,0.232,75.5417,Gasious Substrate Schema,18.61,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m46.46s +41d30m47.05s,0.3173,23.4361,Solenoidal Metric Schema (Iron),2.54,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
03h19m43.86s +41d30m35.43s,0.1727,227.7388,Minkowskian Baseline,23.51,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m43.00s +41d31m10.43s,0.3379,54.5857,Helical Metric Schema,18.34,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Helical Metric Schema,
03h19m43.45s +41d30m35.58s,0.2394,17.3932,Gasious Substrate Schema,19.21,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m42.92s +41d30m25.80s,0.4946,25.2117,Metric Spacetime Anomaly,17.13,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m44.53s +41d31m19.79s,0.3061,147.7021,Solenoidal Metric Schema (Iron),11.78,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Solenoidal Metric Schema (Iron),
03h19m42.42s +41d30m59.90s,0.3717,10.2832,Trefoil Metric Schema,23.01,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
03h19m42.14s +41d30m47.03s,0.4904,3.7553,Metric Spacetime Anomaly,11.26,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m42.73s +41d30m47.21s,0.2755,84.4943,Gasious Substrate Schema,15.29,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m45.23s +41d31m08.28s,0.3389,633.9,Localized Torsional Inflection,11.3,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Localized Torsional Inflection,
03h19m44.54s +41d30m20.95s,0.4456,18.0987,Trefoil Metric Schema,22.88,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Trefoil Metric Schema,
03h19m42.01s +41d31m05.02s,0.2497,312.0899,Gasious Substrate Schema,23.13,MATCH: GALEXASC J031939.68+413105.6 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
03h19m46.18s +41d31m06.39s,0.341,44.5515,Helical Metric Schema,4.69,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Helical Metric Schema,
03h19m42.42s +41d30m46.93s,0.2534,125.5645,Gasious Substrate Schema,12.76,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m47.52s +41d30m45.54s,1.0617,157.0697,Baryonic Metric Substrate,1.73,MATCH: [GFS2006] 6 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Baryonic Metric Substrate,
03h19m42.28s +41d30m58.33s,0.2348,53.743,Gasious Substrate Schema,22.47,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m44.91s +41d30m31.10s,0.3168,19.0475,Solenoidal Metric Schema (Iron),21.07,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Solenoidal Metric Schema (Iron),
03h19m43.40s +41d30m05.84s,0.3023,693.2512,Localized Torsional Inflection,18,MATCH: LEDA   12414 (AG?),,,,,,,-,GALAXY/CLUSTER,Localized Torsional Inflection,
03h19m44.16s +41d30m20.20s,0.3034,1.9454,Solenoidal Metric Schema (Iron),25.66,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Solenoidal Metric Schema (Iron),
03h19m45.82s +41d30m17.18s,0.2023,119.4587,Minkowskian Baseline,12.35,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Minkowskian Baseline,
03h19m46.40s +41d31m03.08s,0.2349,13.5389,Gasious Substrate Schema,4,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m41.38s +41d30m24.98s,0.5894,55.6324,Metric Spacetime Anomaly,12.4,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m41.90s +41d30m25.65s,0.8039,96.5568,Baryonic Metric Substrate,11.18,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Baryonic Metric Substrate,
03h19m47.00s +41d31m06.23s,1.0739,15.8259,Baryonic Metric Substrate,11.41,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Baryonic Metric Substrate,
03h19m44.84s +41d30m48.63s,0.3664,9.5945,Trefoil Metric Schema,10.24,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
03h19m47.63s +41d30m43.02s,0.2411,18.4506,Gasious Substrate Schema,4,MATCH: [GFS2006] 6 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m44.41s +41d30m10.54s,0.5288,27.9402,Metric Spacetime Anomaly,18.7,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Metric Spacetime Anomaly,
03h19m41.37s +41d30m45.47s,0.6534,28.5809,Metric Spacetime Anomaly,9.73,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m43.71s +41d30m33.65s,0.3409,49.3017,Helical Metric Schema,22.31,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m45.23s +41d30m43.59s,0.199,245.1368,Minkowskian Baseline,12.13,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m47.12s +41d30m43.67s,0.4552,130.212,Metric Spacetime Anomaly,4.09,MATCH: [GFS2006] 8 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Metric Spacetime Anomaly,
03h19m47.20s +41d30m46.23s,0.4439,17.7563,Trefoil Metric Schema,1.4,MATCH: [GFS2006] 8 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Trefoil Metric Schema,
03h19m47.69s +41d30m58.19s,0.3107,171.3022,Localized Torsional Inflection,4.41,MATCH: ACO   426 (ClG),,,,,,,-,GALAXY/CLUSTER,Localized Torsional Inflection,
03h19m43.75s +41d30m16.63s,0.2125,113.6783,Minkowskian Baseline,27.36,MATCH: LEDA   12414 (AG?),,,,,,,-,GALAXY/CLUSTER,Minkowskian Baseline,
03h19m42.93s +41d30m43.23s,1.3474,152.1254,Metric Spacetime Anomaly,14.86,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m41.88s +41d30m28.05s,0.7283,79.1495,Metric Spacetime Anomaly,8.78,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m44.47s +41d30m48.60s,0.2508,55.0553,Gasious Substrate Schema,9.35,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m41.36s +41d30m47.45s,0.3144,243.9632,Solenoidal Metric Schema (Iron),11.59,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m44.94s +41d30m42.12s,0.2145,27.0315,Minkowskian Baseline,15.59,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m43.66s +41d31m19.39s,0.4921,187.6546,Metric Spacetime Anomaly,7.62,MATCH: NAME Perseus Horseshoe (PoG),,,,,,,-,GALAXY/CLUSTER,Metric Spacetime Anomaly,
03h19m46.63s +41d31m02.99s,0.2511,205.5944,Localized Torsional Inflection,6.49,MATCH: [GSF2004] J031946.06+413101.9 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Localized Torsional Inflection,
03h19m42.86s +41d30m54.35s,0.232,180.7867,Gasious Substrate Schema,18.34,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m43.21s +41d30m59.81s,0.261,93.5947,Gasious Substrate Schema,14.17,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Gasious Substrate Schema,
03h19m43.68s +41d30m55.26s,0.369,70.0131,Trefoil Metric Schema,9.17,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Trefoil Metric Schema,
03h19m43.22s +41d31m03.31s,0.5453,248.8743,Localized Torsional Inflection,14.93,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Localized Torsional Inflection,
03h19m47.54s +41d30m36.37s,0.1902,290.2419,Minkowskian Baseline,9.02,MATCH: NGC  1275 (Sy2),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m42.95s +41d30m34.17s,0.3144,23.9923,Solenoidal Metric Schema (Iron),13.8,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m43.90s +41d30m27.84s,0.2006,96.4019,Minkowskian Baseline,25.8,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m43.93s +41d30m47.05s,1.0245,84.0334,Baryonic Metric Substrate,12.42,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Baryonic Metric Substrate,
03h19m47.14s +41d30m23.80s,0.2951,144.0707,Solenoidal Metric Schema (Iron),21.6,MATCH: NGC  1275 (Sy2),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m42.89s +41d30m18.82s,0.2127,13.1339,Minkowskian Baseline,22.03,MATCH: Pul -3  270315 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m42.92s +41d31m05.21s,0.4638,121.7169,Metric Spacetime Anomaly,18.77,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Metric Spacetime Anomaly,
03h19m45.81s +41d30m32.86s,0.182,12.5407,Minkowskian Baseline,13.56,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Minkowskian Baseline,
03h19m43.86s +41d30m43.66s,0.1965,150.6496,Minkowskian Baseline,15.8,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m44.95s +41d30m56.58s,0.2919,29.9134,Solenoidal Metric Schema (Iron),5.66,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Solenoidal Metric Schema (Iron),
03h19m45.55s +41d30m42.84s,0.2571,330.5249,Gasious Substrate Schema,8.76,MATCH: 2MASS J03194631+4130449 (X),,,,,,,-,HIGH ENERGY (X-Ray/Gamma),Gasious Substrate Schema,
03h19m44.13s +41d30m53.09s,0.1877,25.5925,Minkowskian Baseline,6.12,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Minkowskian Baseline,
03h19m44.12s +41d30m41.23s,0.3352,363.5582,Helical Metric Schema,17.15,MATCH: GPM  49.935465+41.516135 (*),,,,,,,-,VARIABLE STAR,Helical Metric Schema,
03h19m44.96s +41d30m13.47s,0.2236,43.6403,Gasious Substrate Schema,14.43,MATCH: [CG99] SA426-42 (G),,,,,,,-,GALAXY/CLUSTER,Gasious Substrate Schema,
