SECTION E,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,,,,,,,,,,,,875909699,01h34m49.0s -27d21m52s,0.92,0.8508,0.279,Collapse,X-Ray / Gamma,SINGULARITY,,,147926,16h27m07.9s +04d34m08s,0.58,0.7518,0.227,Collapse,X-Ray / Gamma,SINGULARITY,,,248662,13h09m18.0s -20d34m01s,0.36,0.6333,0.196,Collapse,X-Ray / Gamma,SINGULARITY,,,210502,01h28m06.4s +19d57m43s,0.73,0.8987,0.2,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,604950,19h01m56.4s -40d38m41s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,Sync & Pull Matches,,,,,,,,,,,639749,01h18m49.0s -28d57m41s,0.22,0.4579,0.229,Collapse,X-Ray / Gamma,SINGULARITY,,,409448,13h41m19.1s -12d43m46s,0.53,0.8341,0.169,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,889287625,04h22m40.0s -23d04m57s,0.85,0.8593,0.252,Collapse,X-Ray / Gamma,SINGULARITY,,,158462,01h25m14.3s +05d44m04s,0.81,0.8657,0.237,Collapse,X-Ray / Gamma,SINGULARITY,,,268729,20h20m47.5s -30d12m53s,0.68,0.6718,0.329,Collapse,X-Ray / Gamma,SINGULARITY,,,256656,20h23m44.9s +24d02m49s,0.64,0.8581,0.191,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,606455,17h06m14.6s -36d30m08s,1.28,0.9999,0.282,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,184682,17h43m33.2s +13d01m44s,0.36,0.6294,0.201,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,457609,14h03m05.9s -18d50m03s,0.69,0.7497,0.27,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,167492,09h04m59.0s +03d40m37s,0.53,0.8009,0.18,Collapse,X-Ray / Gamma,SINGULARITY,,,327258,01h34m40.9s -24d05m37s,0.85,0.7677,0.316,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,607960,14h27m40.7s -20d59m13s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,192876,22h58m23.3s +15d32m19s,0.9,0.8013,0.31,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,523829,21h24m54.2s -19d04m29s,0.66,0.7755,0.242,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419231,00h02m53.1s -21d17m19s,0.63,0.9365,0.158,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,609465,12h14m58.9s -08d53m14s,1.33,0.9999,0.293,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,213946,10h09m23.0s +18d23m20s,0.72,0.7192,0.308,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,545903,05h52m30.5s -17d33m10s,0.48,0.8073,0.162,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477759,04h44m27.4s -13d21m49s,0.7,0.8378,0.221,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,615485,19h45m45.2s -38d25m15s,1.33,0.9999,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,266622,09h33m58.0s +14d40m12s,0.81,0.8418,0.253,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,596070,09h15m23.1s -20d42m50s,0.93,0.658,0.475,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491137,15h42m19.4s -32d25m54s,0.58,0.7322,0.237,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,618495,02h39m58.0s -09d39m43s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,281839,21h27m53.4s +08d45m23s,0.51,0.7939,0.178,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,626171,21h35m09.3s -18d47m44s,0.24,0.5977,0.146,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553010,15h40m20.9s -16d17m51s,0.5,0.6954,0.227,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,620000,03h39m00.4s -10d01m45s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,284181,17h42m50.5s +13d07m19s,0.74,0.8829,0.209,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,674331,21h25m30.7s -05d28m15s,0.9,0.7659,0.338,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sync & Pull Matches,,,,,,,,,,,285351,20h56m33.8s +16d58m16s,0.65,0.8064,0.219,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,790719,14h33m55.7s -12d44m11s,0.62,0.9068,0.165,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231706,20h28m02.0s -22d39m44s,0.62,0.9184,0.163,Ghost,Radio / CMB,DARK MATTER,,,331003,22h19m04.4s +06d50m20s,0.82,0.8108,0.275,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320502,14h17m48.0s -24d28m27s,0.81,0.9086,0.215,Forming,K-Band (IR),PROTO-MATTER,,,366120,12h35m04.5s +06d40m46s,0.64,0.8119,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400268,06h04m43.8s -31d02m36s,0.61,0.7734,0.223,Collapse,X-Ray / Gamma,SINGULARITY,,,371973,19h47m27.2s +22d58m27s,0.92,0.7899,0.324,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419833,14h11m52.1s -34d52m17s,0.75,0.8443,0.232,Collapse,X-Ray / Gamma,SINGULARITY,,,376656,21h54m41.2s +13d36m39s,0.51,0.778,0.186,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493579,09h10m33.2s -36d28m33s,0.67,0.8315,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,377826,17h13m36.4s +07d59m40s,0.7,0.8948,0.191,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543244,07h22m40.7s -20d14m57s,0.65,0.676,0.313,Collapse,X-Ray / Gamma,SINGULARITY,,,411773,15h06m23.4s +22d12m09s,0.42,0.4893,0.382,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576355,21h46m02.9s -35d32m50s,0.37,0.763,0.142,Collapse,X-Ray / Gamma,SINGULARITY,,,414114,09h40m20.6s +08d38m07s,0.85,0.8828,0.24,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603445,19h20m51.6s -29d32m26s,0.24,0.4974,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,418796,11h24m19.9s +13d06m49s,0.58,0.6498,0.302,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437525,21h11m41.2s +14d29m18s,0.57,0.9079,0.153,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453913,09h02m24.4s +03d58m41s,0.57,0.4467,0.626,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480836,22h53m36.2s +20d06m05s,0.85,0.7152,0.364,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507759,12h48m06.3s +31d07m57s,0.59,0.8987,0.162,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
