SECTION F,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,26569,05h32m34.6s -29d44m07s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,,38485,10h38m14.5s +22d28m38s,0.6,0.8555,0.181,Collapse,X-Ray / Gamma,SINGULARITY,,,33261,08h33m59.2s -65d15m06s,0.68,0.8953,0.186,Collapse,X-Ray / Gamma,SINGULARITY,,,39625,10h28m15.7s +22d23m15s,0.82,0.9999,0.18,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,43027,11h59m14.1s +51d02m20s,0.7,0.8929,0.194,Collapse,X-Ray / Gamma,SINGULARITY,,,32656,11h14m16.3s -44d14m53s,0.6,0.7836,0.217,Collapse,X-Ray / Gamma,SINGULARITY,,,36960,09h41m28.7s +13d07m14s,0.48,0.6599,0.243,Collapse,X-Ray / Gamma,SINGULARITY,,,43452,17h24m02.9s +55d26m21s,0.67,0.7753,0.245,Collapse,X-Ray / Gamma,SINGULARITY,,,31349,11h01m15.2s -36d07m50s,2.5,0.9999,0.551,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,27572,05h33m16.6s -22d42m35s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,,42047,15h35m30.8s +00d01m27s,0.94,0.7805,0.339,Collapse,X-Ray / Gamma,SINGULARITY,,,35167,13h04m41.3s -59d24m54s,0.63,0.6052,0.376,Collapse,X-Ray / Gamma,SINGULARITY,,,40094,11h01m04.8s +21d57m08s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,44712,20h03m25.7s +41d00m03s,0.31,0.4999,0.275,Collapse,X-Ray / Gamma,SINGULARITY,,,34913,14h03m41.4s -50d49m49s,0.41,0.6858,0.193,Collapse,X-Ray / Gamma,SINGULARITY,,,38030,08h02m19.1s +28d27m36s,0.78,0.9506,0.19,Forming,K-Band (IR),PROTO-MATTER,,,44763,12h43m14.6s +65d00m50s,0.63,0.8209,0.207,Collapse,X-Ray / Gamma,SINGULARITY,,,31366,17h46m46.1s -56d38m32s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),
,28759,09h39m43.4s -24d15m16s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,,42197,17h19m26.5s +07d39m55s,0.9,0.8555,0.271,Collapse,X-Ray / Gamma,SINGULARITY,,,37525,13h37m27.0s -57d58m07s,0.4,0.6828,0.189,Collapse,X-Ray / Gamma,SINGULARITY,,,45378,12h40m45.5s +31d29m09s,0.61,0.9825,0.14,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,Filter for DARK MATTER,,,,,,,,,,,36067,13h16m46.7s -43d35m04s,0.54,0.7069,0.239,Collapse,X-Ray / Gamma,SINGULARITY,,Filter for DARK MATTER,,,,,,,,,,,44923,14h51m12.4s +66d07m38s,0.69,0.8936,0.19,Collapse,X-Ray / Gamma,SINGULARITY,,,31416,15h27m12.3s -28d45m44s,0.39,0.7311,0.162,Collapse,X-Ray / Gamma,SINGULARITY,
,30164,12h56m42.5s -15d28m57s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,Filter for DARK MATTER,,,,,,,,,,,38027,14h35m39.8s -55d15m48s,0.91,0.9277,0.233,Forming,K-Band (IR),PROTO-MATTER,,,47652,07h19m37.4s +27d57m49s,0.75,0.9999,0.164,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,38612,12h53m07.9s +40d21m27s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,36719,10h07m10.0s -52d38m52s,0.73,0.6876,0.34,Collapse,X-Ray / Gamma,SINGULARITY,,,31542,06h07m07.9s +20d21m26s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,45084,17h43m48.1s +66d25m05s,0.16,0.4501,0.175,Collapse,X-Ray / Gamma,SINGULARITY,,Sync & Pull Matches,,,,,,,,,
,30749,03h27m52.7s -45d13m12s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,,30308,04h24m30.7s +13d18m39s,0.68,0.9421,0.169,Ghost,Radio / CMB,DARK MATTER,,,38779,16h02m07.7s -59d48m06s,0.73,0.7853,0.261,Collapse,X-Ray / Gamma,SINGULARITY,,,48388,17h16m22.5s +41d50m17s,0.71,0.9999,0.155,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,38933,14h43m35.3s +43d21m15s,0.68,0.9999,0.15,Ghost,Radio / CMB,DARK MATTER,,,36920,15h44m06.2s -37d58m51s,0.87,0.8499,0.265,Collapse,X-Ray / Gamma,SINGULARITY,,,31575,07h01m49.7s +30d46m07s,0.6,0.9707,0.141,Ghost,Radio / CMB,DARK MATTER,,,45191,17h20m00.4s +46d11m51s,0.61,0.9406,0.152,Ghost,Radio / CMB,DARK MATTER,,,26768,12h52m56.6s -44d23m05s,0.57,0.6817,0.272,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,30609,08h03m47.6s +09d11m38s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,39281,16h56m11.3s -52d49m55s,0.52,0.765,0.197,Collapse,X-Ray / Gamma,SINGULARITY,,,50127,09h57m31.7s +31d10m51s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,46639,13h52m00.5s +52d22m56s,0.8,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,37120,11h36m40.2s -50d29m53s,0.66,0.8515,0.199,Collapse,X-Ray / Gamma,SINGULARITY,,,35722,10h12m06.3s +30d56m33s,0.68,0.9803,0.155,Ghost,Radio / CMB,DARK MATTER,,,46154,20h12m02.0s +46d58m30s,0.93,0.8653,0.274,Collapse,X-Ray / Gamma,SINGULARITY,,,26868,13h59m33.7s -42d54m27s,0.65,0.7738,0.239,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,30659,05h14m20.9s +07d00m47s,0.72,0.9851,0.164,Ghost,Radio / CMB,DARK MATTER,,,39482,09h35m27.8s -63d51m41s,0.76,0.7843,0.272,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,46839,14h07m39.8s +32d51m22s,0.76,0.9817,0.175,Ghost,Radio / CMB,DARK MATTER,,,39829,10h45m00.4s -37d17m52s,0.33,0.6321,0.18,Collapse,X-Ray / Gamma,SINGULARITY,,,35923,09h07m42.8s +15d37m01s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,46314,21h49m26.2s +50d09m01s,0.37,0.7085,0.163,Collapse,X-Ray / Gamma,SINGULARITY,,,27119,14h20m28.3s -46d22m26s,0.49,0.6729,0.238,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,31612,09h00m27.3s +04d23m20s,0.75,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,43395,20h56m57.4s -75d17m53s,0.63,0.6534,0.322,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41836,11h11m04.2s -50d53m50s,0.54,0.7358,0.219,Collapse,X-Ray / Gamma,SINGULARITY,,,38833,12h41m55.7s +09d39m34s,0.67,0.9999,0.148,Ghost,Radio / CMB,DARK MATTER,,Filter for DARK MATTER,,,,,,,,,,,27202,11h36m56.9s -47d56m03s,0.17,0.5176,0.139,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,31662,04h57m04.8s +13d43m28s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,,,43896,21h33m38.2s -46d50m05s,0.41,0.6733,0.199,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42037,17h34m42.5s -43d17m13s,0.94,0.7988,0.325,Collapse,X-Ray / Gamma,SINGULARITY,,,38933,15h34m53.9s +20d58m42s,0.68,0.9999,0.15,Ghost,Radio / CMB,DARK MATTER,,,41284,15h37m18.6s +52d21m35s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,27236,12h11m57.0s -44d47m42s,0.67,0.9258,0.173,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,32515,07h02m25.7s +16d30m40s,0.79,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,43997,17h30m32.6s -53d26m46s,0.65,0.6932,0.3,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42639,20h40m38.7s -34d16m31s,0.83,0.8766,0.237,Collapse,X-Ray / Gamma,SINGULARITY,,,31575,07h01m49.7s +30d46m07s,0.6,0.9707,0.141,Ghost,Radio / CMB,DARK MATTER,,,41472,15h25m21.3s +59d39m38s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,27269,12h54m27.6s -44d14m12s,0.68,0.9681,0.159,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,41746,06h41m31.4s -05d33m47s,0.78,0.9991,0.173,Ghost,Radio / CMB,DARK MATTER,,Filter for DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filter for DARK MATTER,,,,,,,,,,,,,,,,,,,,,44120,17h59m01.8s +55d30m46s,0.71,0.9984,0.157,Ghost,Radio / CMB,DARK MATTER,,,27537,12h40m19.9s -49d27m08s,0.93,0.8517,0.282,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,42749,06h27m30.9s +04d53m54s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,35819,14h27m26.4s -52d51m29s,0.79,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34311,13h23m22.7s -41d34m17s,0.65,0.9999,0.143,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,45191,17h20m00.4s +46d11m51s,0.61,0.9406,0.152,Ghost,Radio / CMB,DARK MATTER,,,29644,11h45m38.5s -56d02m26s,0.5,0.6917,0.228,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,30308,04h24m30.7s +13d18m39s,0.68,0.9421,0.169,Ghost,Radio / CMB,DARK MATTER,,,30301,09h04m30.9s -59d13m46s,0.58,0.9636,0.138,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34763,11h30m49.1s -49d25m49s,0.7,0.9999,0.154,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,45378,18h26m13.1s +56d29m32s,0.61,0.9825,0.14,Ghost,Radio / CMB,DARK MATTER,,,29761,17h57m33.8s -34d55m48s,0.86,0.8453,0.264,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36819,12h52m11.2s -42d37m27s,0.8,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,46074,14h48m41.9s +45d39m16s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,29811,11h54m20.6s -56d25m28s,0.61,0.7657,0.23,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39278,17h53m44.9s -36d36m14s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,46207,12h31m05.8s +48d24m11s,0.74,0.9999,0.162,Ghost,Radio / CMB,DARK MATTER,,,30246,09h34m43.9s -34d52m34s,0.59,0.9102,0.156,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41284,18h09m45.9s -52d21m28s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,46475,21h12m18.1s +53d50m51s,0.79,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,30497,09h27m51.4s -49d26m36s,0.29,0.5117,0.243,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45548,12h37m17.2s -29d33m31s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,47652,12h16m50.7s +52d34m37s,0.75,0.9999,0.164,Ghost,Radio / CMB,DARK MATTER,,,30614,15h37m51.0s -42d17m35s,0.9,0.8592,0.27,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47706,16h54m18.8s +41d14m38s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,30798,19h23m35.9s -35d10m03s,0.68,0.6956,0.311,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47946,23h11m09.4s +38d19m53s,0.82,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,31099,11h29m30.1s -30d11m20s,0.47,0.6898,0.215,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45191,17h20m00.4s +46d11m51s,0.61,0.9406,0.152,Ghost,Radio / CMB,DARK MATTER,,,31132,13h33m47.4s -57d30m34s,0.66,0.9381,0.166,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31416,15h27m12.3s -28d45m44s,0.39,0.7311,0.162,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Filter for DARK MATTER,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27135,11h07m56.5s -49d24m23s,0.79,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27236,12h11m57.0s -44d47m42s,0.67,0.9258,0.173,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27269,12h54m27.6s -44d14m12s,0.68,0.9681,0.159,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28507,15h16m47.4s -37d45m07s,0.73,0.9999,0.161,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28590,14h35m18.0s -37d18m56s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29928,10h44m16.3s -33d58m37s,0.63,0.9999,0.14,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30129,15h04m58.9s -55d21m38s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30246,09h34m43.9s -34d52m34s,0.59,0.9102,0.156,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30547,18h48m29.7s -32d32m60s,0.71,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30881,14h00m45.3s -40d09m06s,0.68,0.9999,0.149,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31132,13h33m47.4s -57d30m34s,0.66,0.9381,0.166,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27236,12h11m57.0s -44d47m42s,0.67,0.9258,0.173,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27269,12h54m27.6s -44d14m12s,0.68,0.9681,0.159,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30246,09h34m43.9s -34d52m34s,0.59,0.9102,0.156,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31132,13h33m47.4s -57d30m34s,0.66,0.9381,0.166,Ghost,Radio / CMB,DARK MATTER,
