SECTION D,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,5288144,17h24m35.3s +65d24m51s,0.57,0.8172,0.189,Collapse,X-Ray / Gamma,SINGULARITY,,,,11592977,15h45m52.3s -66d50m36s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,PULL Matches,,,,,,,,,,PULL Matches,,,,,,,,,,,842739,04h12m08.2s +31d54m18s,0.36,0.7202,0.153,Collapse,X-Ray / Gamma,SINGULARITY,,PULL Matches,,,,,,,,,,,9727425,04h09m39.3s -10d30m34s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,9695652,05h28m39.6s -18d41m25s,1.59,0.8182,0.521,Collapse,X-Ray / Gamma,SINGULARITY,,,12307692,10h46m27.1s +04d01m00s,1.37,0.9999,0.301,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4780936,03h48m30.2s -11d24m23s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,
,5873428,01h57m09.2s +70d47m03s,0.75,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,,11619732,05h52m51.6s -39d21m53s,1.39,0.9999,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,2517559,00h54m17.1s -04d11m09s,2.27,0.9999,0.501,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,4000000,10h22m54.6s -03d18m46s,2.25,0.9999,0.495,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1123676,20h35m26.8s +33d12m56s,0.85,0.9999,0.187,Forming,K-Band (IR),PROTO-MATTER,,,306890,12h06m18.6s +39d16m42s,2.05,0.6586,1.042,Collapse,X-Ray / Gamma,SINGULARITY,,,9774247,03h47m58.3s -10d27m33s,0.76,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,9717391,16h02m12.3s -38d23m03s,1.32,0.9999,0.29,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12337793,05h36m51.7s +08d12m18s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5583612,20h40m51.4s -11d36m56s,0.44,0.7047,0.195,Collapse,X-Ray / Gamma,SINGULARITY,
,7345000,13h13m36.8s +50d14m13s,0.33,0.7164,0.143,Collapse,X-Ray / Gamma,SINGULARITY,,,,11646488,03h46m25.5s -61d43m01s,1.34,0.9999,0.296,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,3186455,22h31m48.5s +00d15m46s,2.82,0.9999,0.621,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,6006689,04h22m23.6s -06d25m47s,2.07,0.9999,0.455,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1143742,09h32m54.1s +22d39m04s,0.41,0.68,0.196,Collapse,X-Ray / Gamma,SINGULARITY,,,992508,19h13m57.3s +48d01m00s,3.97,0.9999,0.874,Fuel,UV / Lyman,HYDROGEN,,,9821070,08h27m20.5s +02d51m53s,1.98,0.9999,0.436,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,9782609,23h08m55.0s -14d29m07s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12428094,22h13m35.5s +03d59m46s,1.24,0.928,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6707358,05h47m51.2s -12d16m12s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,PULL Matches,,,,,,,,,,,3721572,04h35m56.0s -08d45m30s,5.72,0.9999,1.259,Fuel,UV / Lyman,HYDROGEN,,,6675585,04h45m40.4s +00d35m00s,2.29,0.9999,0.504,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1374512,05h22m13.7s +31d20m41s,0.69,0.9999,0.153,Ghost,Radio / CMB,DARK MATTER,,,1243344,22h59m57.7s +41d41m39s,3.29,0.9999,0.724,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,9844482,13h32m02.9s +10d37m16s,1.4,0.9999,0.308,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9804348,09h21m39.1s -22d06m02s,1.35,0.9999,0.298,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12458194,09h21m59.4s +07d52m47s,1.31,0.9999,0.289,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7188963,06h16m57.9s -12d40m34s,0.54,0.8742,0.156,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,3887291,07h15m24.2s -58d15m58s,3.17,0.8404,0.988,Collapse,X-Ray / Gamma,SINGULARITY,,,4256689,03h10m08.9s +04d07m38s,2.44,0.9999,0.538,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,7010033,06h05m13.8s -08d02m41s,2.42,0.9999,0.532,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1424679,04h16m16.6s +21d17m36s,0.59,0.8831,0.167,Collapse,X-Ray / Gamma,SINGULARITY,,,1410569,09h23m12.9s +49d19m42s,4.14,0.9999,0.91,Fuel,UV / Lyman,HYDROGEN,,,9867893,22h34m51.5s +16d22m05s,1.36,0.9999,0.3,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9891304,01h44m48.6s -13d39m09s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,,,12488294,22h52m35.1s +30d18m48s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,7710702,07h26m33.7s -13d11m52s,0.84,0.9999,0.184,Forming,K-Band (IR),PROTO-MATTER,
,,,,,,,,,,,,5037793,04h35m57.6s -53d43m38s,3.3,0.9999,0.726,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5594482,22h53m40.9s +07d03m21s,3.58,0.9999,0.787,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,8347826,23h27m41.2s +02d11m44s,2.66,0.9999,0.585,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1535047,13h35m49.2s +31d33m44s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,1703211,12h15m18.7s +51d48m31s,4.57,0.8271,1.469,Collapse,X-Ray / Gamma,SINGULARITY,,,9891304,15h32m00.2s +18d33m57s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,,,9934783,21h52m05.1s -45d07m21s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12578595,05h48m07.9s +07d33m05s,1.4,0.9999,0.307,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8232441,23h27m23.7s -13d48m01s,0.61,0.8454,0.188,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,5064548,17h54m39.8s -53d38m43s,2.62,0.8844,0.738,Collapse,X-Ray / Gamma,SINGULARITY,,,5728261,02h28m23.3s -16d17m16s,3.48,0.9999,0.767,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,10655518,22h27m15.0s -03d21m49s,4.43,0.7522,1.724,Collapse,X-Ray / Gamma,SINGULARITY,,,1575181,07h31m32.3s +31d36m42s,0.76,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,2079465,13h14m14.3s +29d41m19s,2.97,0.9999,0.654,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,9914716,08h43m02.2s +16d36m27s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9978261,18h06m20.1s -21d36m53s,1.35,0.9848,0.306,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12608696,22h34m22.4s +30d19m24s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,8312709,15h33m27.0s -13d53m60s,0.55,0.8155,0.183,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,5840468,21h11m38.5s -52d26m39s,2.26,0.9999,0.498,Life-Stable,B-Band (Blue),HELIUM/CARBON,,Mode Matches,,,,,,,,,,,10688963,23h28m02.3s +07d51m59s,3.79,0.9999,0.833,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,1815983,08h03m21.1s +31d51m53s,0.71,0.9999,0.156,Ghost,Radio / CMB,DARK MATTER,,,2413913,15h37m10.8s +53d25m28s,2.73,0.9999,0.601,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,9938127,18h04m17.6s +10d59m13s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,PULL Matches,,,,,,,,,,,12668896,23h05m18.0s +03d58m35s,1.44,0.9999,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9596990,09h28m23.1s -15d43m23s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,8997659,20h25m37.3s -55d53m25s,4.88,0.7663,1.827,Collapse,X-Ray / Gamma,SINGULARITY,,,2423913,00h47m03.3s +00d49m38s,0.76,0.9999,0.168,Ghost,Radio / CMB,DARK MATTER,,Mode Matches,,,,,,,,,,,2267488,21h21m41.7s +17d00m34s,0.74,0.9999,0.163,Ghost,Radio / CMB,DARK MATTER,,Mode Matches,,,,,,,,,,,9961538,23h00m35.5s +03d10m26s,1.3,0.9999,0.286,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,5673913,07h51m38.8s -37d24m53s,2.34,0.9999,0.514,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,12729097,23h09m01.9s +30d19m33s,1.91,0.9999,0.42,High-Tension,B/V (Violet),CALCIUM,,,9918060,02h03m21.0s -16d14m25s,0.71,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,9318729,13h25m44.6s -56d25m26s,9.82,0.9999,2.161,Fuel,UV / Lyman,HYDROGEN,,,2571070,01h22m36.4s +01d02m30s,0.71,0.9999,0.156,Ghost,Radio / CMB,DARK MATTER,,,4602007,00h16m33.1s -04d12m19s,0.6,0.8715,0.175,Collapse,X-Ray / Gamma,SINGULARITY,,,2417990,22h18m19.3s +32d10m08s,0.7,0.9999,0.153,Ghost,Radio / CMB,DARK MATTER,,,658060,18h35m25.2s +39d39m43s,0.88,0.9999,0.194,Forming,K-Band (IR),PROTO-MATTER,,,10055184,03h30m30.0s -11d16m21s,1.2,0.9999,0.263,Forming,K-Band (IR),PROTO-MATTER,,,5891304,18h37m32.4s -36d54m43s,2.07,0.9999,0.455,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,12759197,15h38m12.5s +27d14m53s,1.37,0.9999,0.302,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,10479933,19h11m20.4s -17d11m42s,0.47,0.7728,0.175,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,9586288,00h05m23.9s -66d43m29s,2.45,0.9999,0.539,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,2611204,00h11m22.1s +01d08m29s,0.4,0.6765,0.194,Collapse,X-Ray / Gamma,SINGULARITY,,,7110368,06h28m30.8s +05d03m42s,0.79,0.9999,0.175,Ghost,Radio / CMB,DARK MATTER,,,3240732,19h37m09.1s +24d09m31s,0.2,0.5351,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,708227,20h31m10.1s +37d08m22s,0.41,0.7842,0.148,Collapse,X-Ray / Gamma,SINGULARITY,,,10102007,20h36m53.7s +02d15m36s,0.72,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,,,6326087,17h23m10.3s -29d54m24s,3.21,0.9999,0.706,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,12789298,10h39m24.0s +03d58m39s,1.43,0.7999,0.49,Collapse,X-Ray / Gamma,SINGULARITY,,,11724080,21h26m11.7s -19d29m32s,0.79,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,10656522,03h07m54.3s -41d36m23s,2.84,0.9999,0.626,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,3480769,03h50m01.7s -07d49m47s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,,,7244147,02h41m48.0s -05d28m34s,0.47,0.7236,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,858729,02h48m14.3s +39d01m46s,0.65,0.9345,0.164,Ghost,Radio / CMB,DARK MATTER,,,10219064,08h00m20.7s +11d49m02s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,9152174,10h58m56.5s -18d05m28s,2.11,0.9999,0.465,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,12969900,23h27m48.2s +30d18m33s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12125418,05h38m49.1s -20d16m20s,0.82,0.9999,0.18,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,Mode Matches,,,,,,,,,,,4002508,19h24m03.9s -09d50m36s,0.79,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,7277592,16h36m05.8s +01d25m00s,0.53,0.7878,0.189,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,925619,11h58m21.8s +38d07m02s,0.62,0.9999,0.137,Ghost,Radio / CMB,DARK MATTER,,,10289298,22h03m15.3s -10d54m46s,1.46,0.9999,0.32,Stable,V-Band (Green),MAGNESIUM,,Mode Matches,,,,,,,,,,,13000000,15h38m04.1s +27d55m12s,1.33,0.9999,0.294,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,12566890,08h39m58.2s -21d08m36s,0.65,0.9999,0.143,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,4154849,19h44m45.9s -54d50m36s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,4925585,08h19m48.2s -13d22m03s,0.24,0.5229,0.192,Collapse,X-Ray / Gamma,SINGULARITY,,,11023411,20h35m24.4s -13d00m14s,0.78,0.9999,0.171,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,1460736,10h44m37.6s +36d47m58s,0.76,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,10382943,02h22m52.1s +01d36m39s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4326087,02h07m42.2s -34d06m55s,0.53,0.857,0.157,Collapse,X-Ray / Gamma,SINGULARITY,,PULL Matches,,,,,,,,,,,12807692,09h24m39.3s -21d37m21s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,4422408,08h47m53.8s -54d00m41s,0.72,0.9999,0.159,Ghost,Radio / CMB,DARK MATTER,,,5286789,11h49m46.7s -14d42m18s,0.71,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,,,11558528,01h02m49.7s -01d10m27s,0.66,0.9999,0.146,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,2581137,02h25m05.1s +56d29m05s,0.81,0.9999,0.178,Ghost,Radio / CMB,DARK MATTER,,,10406355,07h17m08.0s +10d06m18s,1.36,0.9999,0.299,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4913043,09h09m54.6s -28d23m25s,0.67,0.9999,0.147,Ghost,Radio / CMB,DARK MATTER,,,4000000,08h09m39.0s +15d24m34s,2.25,0.9999,0.495,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,13128763,02h25m50.8s -22d15m49s,0.72,0.9999,0.157,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,4823746,17h28m20.2s -53d45m37s,0.81,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,5326923,17h27m13.5s -14d51m05s,0.87,0.9999,0.191,Forming,K-Band (IR),PROTO-MATTER,,,12662207,19h14m58.9s +00d11m06s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,2664749,12h15m22.4s +30d58m24s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,PULL Matches,,,,,,,,,,,4978261,16h54m15.3s -28d17m03s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,6287625,02h13m26.0s +11d27m53s,2.24,0.8577,0.67,Collapse,X-Ray / Gamma,SINGULARITY,,,14212375,13h55m55.5s -24d24m55s,0.72,0.9999,0.159,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,6081271,21h21m10.5s -52d00m52s,0.68,0.9999,0.149,Ghost,Radio / CMB,DARK MATTER,,,5527592,11h59m59.8s -15d34m35s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,12896321,14h25m58.5s +12d42m26s,0.35,0.6315,0.192,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,2740000,02h04m35.0s +42d57m18s,0.36,0.6614,0.181,Collapse,X-Ray / Gamma,SINGULARITY,,,4202341,01h51m31.1s +05d15m25s,2.44,0.9999,0.536,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,5000000,03h29m06.6s -24d59m43s,0.81,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,7010033,04h01m36.5s +10d10m43s,2.42,0.9999,0.532,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,14493311,14h58m20.6s -24d57m44s,0.8,0.9999,0.176,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,6776923,13h31m39.2s -63d31m23s,0.77,0.9999,0.17,Ghost,Radio / CMB,DARK MATTER,,,5621237,14h20m22.8s +04d45m07s,0.6,0.8946,0.166,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5372910,12h52m24.4s +08d52m12s,3.96,0.9999,0.872,Fuel,UV / Lyman,HYDROGEN,,,5043478,00h40m57.7s -35d34m37s,0.77,0.9779,0.178,Ghost,Radio / CMB,DARK MATTER,,,7311037,07h26m59.5s +24d38m59s,2.56,0.9999,0.563,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,16419732,21h06m39.8s -28d25m03s,0.64,0.9246,0.166,Ghost,Radio / CMB,DARK MATTER,
,,,,,,,,,,,,6857191,05h39m39.5s -63d39m03s,0.6,0.9116,0.159,Ghost,Radio / CMB,DARK MATTER,,,6102843,15h53m07.1s +04d31m43s,0.62,0.9442,0.154,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5911371,15h04m05.6s +09d04m05s,2.69,0.7976,0.929,Collapse,X-Ray / Gamma,SINGULARITY,,,5326087,21h42m42.0s -26d53m53s,0.73,0.9999,0.16,Ghost,Radio / CMB,DARK MATTER,,,7461538,13h31m53.0s +16d44m39s,6.89,0.866,2.022,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,,,,,,,,,,,,7312040,15h17m24.6s -53d57m04s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7877926,20h46m50.5s +10d53m37s,2.98,0.841,0.927,Collapse,X-Ray / Gamma,SINGULARITY,,,5934783,15h35m17.7s -22d46m57s,0.82,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,Mode Matches,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7740134,14h54m10.2s -64d56m12s,0.78,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9352843,15h35m22.3s +14d59m23s,6.42,0.8735,1.851,Collapse,X-Ray / Gamma,SINGULARITY,,,6652174,17h43m03.7s -23d12m45s,0.67,0.9999,0.148,Ghost,Radio / CMB,DARK MATTER,,,4602007,22h04m13.8s +14d25m32s,0.6,0.8715,0.175,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,,,,,,,,,,,,7900669,23h04m54.9s -65d08m40s,0.69,0.9999,0.152,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mode Matches,,,,,,,,,,,7195652,18h16m47.0s -22d19m55s,0.87,0.9999,0.191,Forming,K-Band (IR),PROTO-MATTER,,,4722408,08h56m32.7s +14d13m20s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,
,,,,,,,,,,,,8623077,23h42m17.1s -65d57m51s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3687291,10h25m20.4s +05d10m10s,0.78,0.9999,0.173,Ghost,Radio / CMB,DARK MATTER,,,7630435,03h32m44.5s -33d03m06s,0.69,0.9183,0.181,Forming,K-Band (IR),PROTO-MATTER,,,4872910,12h35m26.3s +18d29m19s,0.57,0.856,0.17,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,,,,,,,,,,,,8730100,23h32m41.7s -46d17m05s,0.76,0.9999,0.167,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4506689,12h39m01.1s +06d47m29s,0.76,0.9999,0.168,Ghost,Radio / CMB,DARK MATTER,,,7695652,12h12m02.3s -20d24m35s,0.59,0.8292,0.19,Collapse,X-Ray / Gamma,SINGULARITY,,,5836120,14h43m49.0s +18d29m47s,0.79,0.9999,0.174,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,
,,,,,,,,,,,,9158194,04h55m44.6s -56d09m03s,0.53,0.8641,0.157,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5162207,04h59m38.0s +02d19m53s,0.6,0.9999,0.131,Ghost,Radio / CMB,DARK MATTER,,,7847826,13h49m24.6s -38d54m09s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,5926421,09h59m47.2s +12d06m41s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,
,,,,,,,,,,,,10308696,00h05m51.4s -67d00m40s,0.64,0.9277,0.163,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5326087,11h33m18.7s +06d12m16s,0.73,0.9999,0.16,Ghost,Radio / CMB,DARK MATTER,,,8478261,17h33m19.4s -42d36m07s,0.77,0.9999,0.169,Ghost,Radio / CMB,DARK MATTER,,,6107023,04h45m38.7s +22d30m50s,0.9,0.9999,0.198,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5583612,20h15m09.4s +03d08m09s,0.44,0.7047,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,8739130,06h04m29.6s -17d27m15s,0.63,0.8653,0.186,Collapse,X-Ray / Gamma,SINGULARITY,,,7732441,05h44m05.2s +08d55m53s,0.48,0.7648,0.182,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5934783,05h22m05.5s +10d05m18s,0.82,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,9391304,15h49m42.1s -25d30m52s,0.67,0.9999,0.147,Ghost,Radio / CMB,DARK MATTER,,,8785953,23h44m47.4s +18d23m12s,0.68,0.9133,0.178,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6403010,01h53m02.6s -01d42m56s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,9891304,01h44m48.6s -13d39m09s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,,,9418060,08h57m02.8s +06d21m35s,0.9,0.9999,0.199,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6707358,04h49m44.4s +01d54m25s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,10260870,15h45m52.0s +05d21m03s,0.55,0.8523,0.166,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8627090,03h15m45.0s -09d57m08s,0.64,0.9999,0.142,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,11284281,21h59m27.8s +29d50m19s,0.8,0.9999,0.177,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8697324,20h33m55.8s +04d49m36s,0.39,0.7361,0.157,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,11735786,07h42m29.0s +09d47m01s,0.69,0.9681,0.162,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8861204,01h24m16.9s -05d18m16s,0.78,0.9999,0.172,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,11886288,20h49m48.4s +30d09m33s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9212375,11h54m00.5s -08d50m50s,0.67,0.9999,0.147,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9259197,14h29m57.6s +03d56m19s,0.76,0.9999,0.167,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9727425,04h09m39.3s -10d30m34s,0.81,0.9999,0.179,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9774247,03h47m58.3s -10d27m33s,0.76,0.9999,0.166,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9891304,15h32m00.2s +18d33m57s,0.72,0.9999,0.158,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
