SECTION A,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,26000,03h50m40.3s -16d32m43s,0.73,0.8829,0.207,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h57m30.3s +09d13m49s,1.54,0.9999,0.34,Stable,V-Band (Green),MAGNESIUM,,,7300,01h57m29.4s +43d09m10s,1.49,0.8177,0.49,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h27m05.7s +22d25m24s,0.93,0.732,0.384,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h49m32.0s -39d43m32s,3.5,0.8295,1.118,Collapse,X-Ray / Gamma,SINGULARITY,,,800,08h01m20.7s +23d12m39s,0.86,0.8574,0.258,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h53m43.9s +05d58m52s,0.38,0.6683,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,06h03m46.7s +27d27m14s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h22m14.2s -30d01m18s,0.81,0.8357,0.254,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,11h24m36.3s +05d26m20s,2.64,0.9406,0.657,Life-Stable,B-Band (Blue),HELIUM/CARBON,
,26000,03h45m30.8s -16d09m34s,0.43,0.7714,0.16,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,02h05m11.5s +09d09m06s,0.82,0.9999,0.18,Ghost,Radio / CMB,DARK MATTER,,,7300,01h59m43.4s +43d17m42s,0.39,0.6881,0.182,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h07m23.3s +22d32m20s,0.23,0.5241,0.188,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h42m46.4s -39d25m27s,0.48,0.7899,0.168,Collapse,X-Ray / Gamma,SINGULARITY,,,800,08h02m21.4s +23d18m27s,1.18,0.8178,0.388,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h53m28.2s +06d00m06s,0.38,0.6683,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,06h04m45.6s +27d26m04s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h41m00.2s -28d53m37s,1.33,0.7702,0.495,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h38m22.8s +01d43m49s,0.5,0.8319,0.159,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,03h29m59.9s -15d00m08s,0.94,0.8726,0.271,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,02h06m09.1s +09d08m31s,0.82,0.9999,0.18,Ghost,Radio / CMB,DARK MATTER,,,7300,02h32m28.2s +45d22m48s,0.94,0.859,0.281,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h53m29.5s +22d37m14s,0.81,0.7489,0.316,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h28m00.3s -38d45m59s,0.34,0.6892,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,800,08h04m22.5s +23d30m03s,1.96,0.8375,0.615,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h53m12.4s +06d01m19s,0.38,0.6683,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,06h05m44.5s +27d24m54s,1.42,0.9999,0.313,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h59m47.1s -27d45m57s,1.04,0.8759,0.3,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h39m22.6s +01d40m48s,0.5,0.8319,0.159,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,03h20m55.2s -14d19m38s,0.42,0.8305,0.135,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,02h07m06.8s +09d07m55s,0.82,0.9999,0.18,Ghost,Radio / CMB,DARK MATTER,,,7300,02h33m12.9s +45d25m39s,0.94,0.859,0.281,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h47m07.6s +22d39m30s,1.42,0.8794,0.403,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h17m31.4s -38d18m00s,1.41,0.882,0.4,Collapse,X-Ray / Gamma,SINGULARITY,,,800,08h10m23.5s +24d04m47s,2.49,0.8873,0.696,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h05m08.4s +09d46m56s,0.76,0.8044,0.257,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,06h10m39.0s +27d19m05s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,02h15m26.9s -26d49m34s,1.06,0.8352,0.333,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h40m22.4s +01d37m48s,0.5,0.8319,0.159,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,03h17m40.4s -14d05m11s,1.19,0.8796,0.338,Collapse,X-Ray / Gamma,SINGULARITY,,,Filter for Singularities,,,,,,,,,,,7300,02h49m34.5s +46d28m12s,0.96,0.7101,0.42,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h46m32.9s +22d39m42s,1.42,0.8794,0.403,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h08m15.8s -37d53m18s,1.91,0.7778,0.695,Collapse,X-Ray / Gamma,SINGULARITY,,,800,08h13m22.7s +24d22m08s,0.49,0.8819,0.138,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h04m52.8s +09d48m10s,0.76,0.8044,0.257,Collapse,X-Ray / Gamma,SINGULARITY,,Filter for Singularities,,,,,,,,,,,11000,02h18m34.9s -26d38m17s,0.51,0.741,0.206,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h50m20.5s +01d07m44s,0.77,0.8213,0.253,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,03h17m01.4s -14d02m17s,2.05,0.8875,0.571,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h35m15.2s +10d41m22s,1.85,0.7394,0.746,Collapse,X-Ray / Gamma,SINGULARITY,,Sync Matches,,,,,,,,,,,6500,06h40m45.9s +22d41m45s,0.34,0.5831,0.218,Collapse,X-Ray / Gamma,SINGULARITY,,,930,05h45m22.3s -36d52m18s,0.68,0.8119,0.226,Collapse,X-Ray / Gamma,SINGULARITY,,Sync Matches,,,,,,,,,,,18000,03h04m37.2s +09d49m23s,0.76,0.8044,0.257,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,02h42m24.2s +31d25m19s,1.1,0.8151,0.366,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h42m05.8s -25d13m44s,4.04,0.8573,1.209,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h51m20.3s +01d04m43s,0.77,0.8213,0.253,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,03h16m22.4s -13d59m24s,0.66,0.8613,0.197,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h36m12.9s +10d40m46s,1.85,0.7394,0.746,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,HELIUM/CARBON,,,6500,06h19m57.7s +22d49m10s,0.85,0.7992,0.292,Collapse,X-Ray / Gamma,SINGULARITY,,,930,05h37m18.6s -36d30m50s,0.98,0.8259,0.315,Collapse,X-Ray / Gamma,SINGULARITY,,,,,7.75,0.6063,1.706,,,,,,18000,03h01m14.4s +10d05m19s,1.02,0.8272,0.327,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,02h43m23.2s +31d24m09s,1.1,0.8151,0.366,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h50m43.5s -24d42m44s,0.71,0.7766,0.258,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h52m20.1s +01d01m43s,0.77,0.8213,0.253,Collapse,X-Ray / Gamma,SINGULARITY,
,26000,03h09m13.1s -13d27m35s,0.96,0.8881,0.269,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h37m10.6s +10d40m11s,1.85,0.7394,0.746,Collapse,X-Ray / Gamma,SINGULARITY,,,,,4.41,0.6271,0.97,,,,,,6500,06h18m13.8s +22d49m48s,0.89,0.768,0.331,Collapse,X-Ray / Gamma,SINGULARITY,,,930,05h29m14.5s -36d09m22s,2.94,0.761,1.116,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h18m26.8s +19d13m14s,0.45,0.6823,0.211,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h00m58.8s +10d06m32s,1.02,0.8272,0.327,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,03h29m34.5s +30d29m41s,0.42,0.58,0.278,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h57m47.2s -24d17m22s,0.81,0.8774,0.231,Collapse,X-Ray / Gamma,SINGULARITY,,,28000,12h54m19.8s +00d55m42s,1.87,0.9822,0.426,Life-Stable,B-Band (Blue),HELIUM/CARBON,
Sync Matches,,,,,,,,,,,,16000,23h46m47.4s +10d34m15s,1,0.8115,0.334,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,00h36m57.5s +38d02m11s,0.56,0.6293,0.312,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h12m27.4s +22d51m52s,2.11,0.7215,0.893,Collapse,X-Ray / Gamma,SINGULARITY,,Sync Matches,,,,,,,,,,,800,07h19m05.7s +19d16m46s,0.92,0.7955,0.319,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h00m43.2s +10d07m46s,1.02,0.8272,0.327,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,03h30m33.4s +30d28m31s,0.42,0.58,0.278,Collapse,X-Ray / Gamma,SINGULARITY,,Sync Matches,,,,,,,,,,,28000,13h14m16.0s +00d04m26s,1.04,0.9406,0.258,Forming,K-Band (IR),PROTO-MATTER,
,26000,06h03m42.0s -26d41m28s,1.91,0.8982,0.521,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h47m45.1s +10d33m40s,1,0.8115,0.334,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,00h42m11.1s +38d22m04s,0.29,0.6271,0.164,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h11m52.8s +22d52m04s,2.11,0.7215,0.893,Collapse,X-Ray / Gamma,SINGULARITY,,,930,08h25m18.1s -44d00m39s,0.72,0.9676,0.169,Ghost,Radio / CMB,DARK MATTER,,,800,07h22m32.3s +19d35m33s,1.47,0.6063,0.877,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h46m27.0s +11d15m06s,1.95,0.8749,0.561,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,03h38m25.1s +30d19m14s,1.03,0.8868,0.289,Collapse,X-Ray / Gamma,SINGULARITY,,,,,4.04,0.6991,1.209,,,,,Sync & Pull Matches,,,,,,,,,
,26000,06h01m49.9s -26d32m45s,1.51,0.7678,0.563,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h48m42.8s +10d33m04s,1,0.8115,0.334,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,00h42m55.8s +38d24m55s,0.29,0.6271,0.164,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,06h11m18.2s +22d52m17s,0.86,0.8189,0.281,Collapse,X-Ray / Gamma,SINGULARITY,,,930,08h18m01.7s -43d41m03s,1.77,0.6991,0.796,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h25m19.5s +19d50m49s,0.68,0.973,0.159,Ghost,Radio / CMB,DARK MATTER,,,18000,02h46m11.5s +11d16m19s,1.95,0.8749,0.561,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,03h39m24.0s +30d18m05s,1.03,0.8868,0.289,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,23h19m03.2s -37d27m05s,0.89,0.8848,0.249,Collapse,X-Ray / Gamma,SINGULARITY,,,#N/A,,,,,,,,
,26000,05h57m28.2s -26d12m26s,0.67,0.7721,0.248,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h52m33.5s +10d30m42s,0.37,0.6759,0.179,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,01h21m43.4s +40d52m43s,0.86,0.9445,0.213,Forming,K-Band (IR),PROTO-MATTER,,,6500,05h43m37.5s +23d02m16s,1.44,0.8625,0.427,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h51m54.1s -42d30m46s,0.94,0.8886,0.261,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h29m48.1s +20d15m26s,2.18,0.8914,0.603,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h45m55.9s +11d17m32s,1.95,0.8749,0.561,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,03h50m12.5s +30d05m19s,1.35,0.8742,0.389,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,23h25m16.5s -37d04m31s,0.65,0.8238,0.211,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,26000,05h45m36.3s -25d17m17s,2.63,0.738,1.062,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h53m31.2s +10d30m07s,0.37,0.6759,0.179,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,01h30m40.2s +41d26m49s,1.27,0.8114,0.424,Collapse,X-Ray / Gamma,SINGULARITY,,Sync Matches,,,,,,,,,,,930,07h48m51.4s -42d22m35s,0.36,0.4553,0.381,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h31m42.7s +20d25m58s,1.17,0.8843,0.33,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h44m07.1s +11d26m06s,0.33,0.653,0.169,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,04h40m18.5s +29d06m06s,2.48,0.8831,0.699,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,23h29m09.9s -36d50m24s,0.58,0.9686,0.136,Ghost,Radio / CMB,DARK MATTER,,,,,,,,,,,
,26000,05h19m52.2s -23d18m20s,0.85,0.8858,0.238,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h54m28.9s +10d29m31s,0.37,0.6759,0.179,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,01h41m50.8s +42d09m28s,0.55,0.794,0.19,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h50m18.8s +22d17m19s,0.64,0.8698,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h39m06.4s -41d56m23s,0.73,0.9804,0.167,Ghost,Radio / CMB,DARK MATTER,,,800,07h35m56.2s +20d49m23s,2.07,0.8155,0.685,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h43m51.6s +11d27m20s,0.33,0.653,0.169,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,04h41m17.5s +29d04m56s,0.5,0.841,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,23h33m50.0s -36d33m28s,2.94,0.987,0.663,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,,,,,,,,,
,26000,05h07m15.2s -22d20m21s,1.52,0.7664,0.569,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,00h18m30.9s +10d14m43s,0.67,0.8495,0.204,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,01h50m47.2s +42d43m35s,1.73,0.809,0.582,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h49m43.9s +22d17m31s,0.64,0.8698,0.187,Collapse,X-Ray / Gamma,SINGULARITY,,,930,07h28m07.2s -41d26m54s,0.51,0.7033,0.225,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h36m34.1s +20d52m53s,1.17,0.6869,0.546,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h43m36.0s +11d28m33s,0.33,0.653,0.169,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,04h42m16.4s +29d03m47s,0.5,0.841,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,23h49m24.0s -35d37m01s,1.44,0.9875,0.325,Stable,V-Band (Green),MAGNESIUM,,,,,,,,,,,
,26000,04h52m03.4s -21d10m46s,0.5,0.8345,0.159,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,00h19m28.5s +10d14m07s,0.67,0.8495,0.204,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,01h57m29.4s +43d09m10s,1.49,0.8177,0.49,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h35m13.0s +22d22m34s,0.35,0.652,0.181,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h58m44.4s -40d08m10s,1.16,0.936,0.292,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h41m35.9s +21d20m55s,0.72,0.8662,0.21,Collapse,X-Ray / Gamma,SINGULARITY,,Sync Matches,,,,,,,,,,,7800,04h57m59.3s +28d45m11s,0.58,0.833,0.184,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,00h04m11.9s -34d43m24s,1.11,0.8455,0.34,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,26000,04h48m14.9s -20d53m23s,1.24,0.928,0.317,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,00h20m26.2s +10d13m32s,0.67,0.8495,0.204,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,01h59m43.4s +43d17m42s,0.39,0.6881,0.182,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h29m59.7s +22d24m23s,1.69,0.8832,0.477,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h49m32.0s -39d43m32s,3.5,0.8295,1.118,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h47m12.8s +21d52m25s,1.27,0.7194,0.541,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h09m02.5s +09d28m34s,1.61,0.9761,0.371,High-Tension,B/V (Violet),CALCIUM,,,7800,05h16m38.8s +28d23m06s,0.87,0.8209,0.284,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,00h26m01.4s -33d24m23s,1.68,0.8203,0.551,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,26000,04h45m04.3s -20d38m53s,0.77,0.9857,0.174,Ghost,Radio / CMB,DARK MATTER,,,,16000,01h16m11.0s +09d39m13s,0.74,0.7267,0.307,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h32m28.2s +45d22m48s,0.94,0.859,0.281,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h27m40.5s +22d25m12s,0.93,0.732,0.384,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h42m46.4s -39d25m27s,0.48,0.7899,0.168,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h52m46.8s +22d23m51s,1.79,0.7875,0.634,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h05m08.4s +09d46m56s,0.76,0.8044,0.257,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,05h17m37.8s +28d21m56s,0.87,0.8209,0.284,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,00h29m55.4s -33d10m17s,0.98,0.6991,0.443,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,26000,04h21m29.1s -18d51m42s,2.83,0.866,0.831,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h17m08.7s +09d38m38s,0.74,0.7267,0.307,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h33m12.9s +45d25m39s,0.94,0.859,0.281,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h27m05.7s +22d25m24s,0.93,0.732,0.384,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h28m00.3s -38d45m59s,0.34,0.6892,0.156,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h55m38.9s +22d40m08s,1.15,0.9468,0.283,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,18000,03h04m52.8s +09d48m10s,0.76,0.8044,0.257,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,05h33m20.5s +28d03m19s,0.98,0.8548,0.297,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,00h37m43.4s -32d42m04s,1.2,0.9547,0.291,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,,,,,,,,
,26000,04h13m48.2s -18d16m57s,0.5,0.6688,0.247,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h18m06.3s +09d38m02s,0.74,0.7267,0.307,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h49m34.5s +46d28m12s,0.96,0.7101,0.42,Collapse,X-Ray / Gamma,SINGULARITY,,,6500,07h07m23.3s +22d32m20s,0.23,0.5241,0.188,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h24m18.4s -38d36m07s,1.3,0.9471,0.319,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,800,07h57m29.1s +22d50m36s,1.2,0.871,0.349,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h04m37.2s +09d49m23s,0.76,0.8044,0.257,Collapse,X-Ray / Gamma,SINGULARITY,,Sync Matches,,,,,,,,,,,11000,00h53m20.0s -31d45m39s,0.51,0.7913,0.18,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,26000,04h08m02.0s -17d50m53s,1.29,0.9793,0.295,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,16000,01h42m07.8s +09d23m16s,0.65,0.857,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,02h51m03.7s +46d33m54s,0.99,0.9604,0.237,Forming,K-Band (IR),PROTO-MATTER,,,6500,06h53m29.5s +22d37m14s,0.81,0.7489,0.316,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h18m45.5s -38d21m18s,1.61,0.9161,0.423,Life-Stable,B-Band (Blue),HELIUM/CARBON,,,800,08h01m20.7s +23d12m39s,0.86,0.8574,0.258,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h01m14.4s +10d05m19s,1.02,0.8272,0.327,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,01h18m50.4s +33d03m39s,1.37,0.9768,0.315,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,11000,01h22m14.2s -30d01m18s,0.81,0.8357,0.254,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,26000,03h50m40.3s -16d32m43s,0.73,0.8829,0.207,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h43m05.5s +09d22m41s,0.65,0.857,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,03h32m39.8s +49d13m10s,1.35,0.9795,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h47m07.6s +22d39m30s,1.42,0.8794,0.403,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h17m31.4s -38d18m00s,1.41,0.882,0.4,Collapse,X-Ray / Gamma,SINGULARITY,,,800,08h02m21.4s +23d18m27s,1.18,0.8178,0.388,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h00m58.8s +10d06m32s,1.02,0.8272,0.327,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,02h42m24.2s +31d25m19s,1.1,0.8151,0.366,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,01h41m00.2s -28d53m37s,1.33,0.7702,0.495,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,26000,03h45m30.8s -16d09m34s,0.43,0.7714,0.16,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,01h44m03.1s +09d22m05s,0.65,0.857,0.195,Collapse,X-Ray / Gamma,SINGULARITY,,,7300,03h33m24.4s +49d16m00s,1.35,0.9795,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,6500,06h46m32.9s +22d39m42s,1.42,0.8794,0.403,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h08m15.8s -37d53m18s,1.91,0.7778,0.695,Collapse,X-Ray / Gamma,SINGULARITY,,,800,08h04m22.5s +23d30m03s,1.96,0.8375,0.615,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,03h00m43.2s +10d07m46s,1.02,0.8272,0.327,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,02h43m23.2s +31d24m09s,1.1,0.8151,0.366,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,01h59m47.1s -27d45m57s,1.04,0.8759,0.3,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,26000,03h29m59.9s -15d00m08s,0.94,0.8726,0.271,Collapse,X-Ray / Gamma,SINGULARITY,,,Sync Matches,,,,,,,,,,Sync & Pull Matches,,,,,,,,,,,6500,06h40m45.9s +22d41m45s,0.34,0.5831,0.218,Collapse,X-Ray / Gamma,SINGULARITY,,,930,06h06m24.6s -37d48m21s,0.88,0.9024,0.237,Forming,K-Band (IR),PROTO-MATTER,,,800,08h10m23.5s +24d04m47s,2.49,0.8873,0.696,Collapse,X-Ray / Gamma,SINGULARITY,,,18000,02h46m27.0s +11d15m06s,1.95,0.8749,0.561,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,03h29m34.5s +30d29m41s,0.42,0.58,0.278,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h15m26.9s -26d49m34s,1.06,0.8352,0.333,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,26000,03h20m55.2s -14d19m38s,0.42,0.8305,0.135,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h35m15.2s +10d41m22s,1.85,0.7394,0.746,Collapse,X-Ray / Gamma,SINGULARITY,,,#N/A,,,,,,,,,,6500,06h19m57.7s +22d49m10s,0.85,0.7992,0.292,Collapse,X-Ray / Gamma,SINGULARITY,,,930,05h45m22.3s -36d52m18s,0.68,0.8119,0.226,Collapse,X-Ray / Gamma,SINGULARITY,,Sync & Pull Matches,,,,,,,,,,,18000,02h46m11.5s +11d16m19s,1.95,0.8749,0.561,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,03h30m33.4s +30d28m31s,0.42,0.58,0.278,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h18m34.9s -26d38m17s,0.51,0.741,0.206,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
,26000,03h17m40.4s -14d05m11s,1.19,0.8796,0.338,Collapse,X-Ray / Gamma,SINGULARITY,,,,16000,23h36m12.9s +10d40m46s,1.85,0.7394,0.746,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,6500,06h18m13.8s +22d49m48s,0.89,0.768,0.331,Collapse,X-Ray / Gamma,SINGULARITY,,,930,05h37m18.6s -36d30m50s,0.98,0.8259,0.315,Collapse,X-Ray / Gamma,SINGULARITY,,,800,07h49m16.9s +22d04m04s,7.75,0.9999,1.706,Fuel,UV / Lyman,HYDROGEN,,,18000,02h45m55.9s +11d17m32s,1.95,0.8749,0.561,Collapse,X-Ray / Gamma,SINGULARITY,,,7800,03h38m25.1s +30d19m14s,1.03,0.8868,0.289,Collapse,X-Ray / Gamma,SINGULARITY,,,11000,02h42m05.8s -25d13m44s,4.04,0.8573,1.209,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,
