SECTION B,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,#REF!,,,Metric,PULL vs. m,Sync vs. m,Ghost Count,,,,IDENTITY,Count
,1352,06h52m08.5s -03d50m26s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,,7012,23h31m22.8s -14d34m12s,0.72,0.855,0.216,Collapse,X-Ray / Gamma,SINGULARITY,,,8715,17h51m56.7s -43d57m58s,1.41,0.9999,0.31,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4137,17h42m19.0s -27d42m16s,1.02,0.9999,0.225,Forming,K-Band (IR),PROTO-MATTER,,,5208,18h40m00.0s -24d53m40s,1.22,0.9999,0.268,Forming,K-Band (IR),PROTO-MATTER,,,462,15h05m35.2s -21d34m42s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,160241,11h39m46.8s -69d03m51s,1.24,0.9999,0.273,Forming,K-Band (IR),PROTO-MATTER,,,2222,20h17m31.0s +43d15m00s,0.95,0.9731,0.22,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5565,01h22m59.9s -06d41m57s,1.15,0.9999,0.253,Forming,K-Band (IR),PROTO-MATTER,
,1354,08h20m02.6s -05d08m02s,0.95,0.9999,0.21,Forming,K-Band (IR),PROTO-MATTER,,,,7021,22h01m02.6s -18d59m27s,0.91,0.9999,0.2,Forming,K-Band (IR),PROTO-MATTER,,,8719,13h36m50.0s -43d28m33s,1.4,0.9999,0.309,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4152,22h46m33.8s -18d40m53s,1.11,0.9999,0.243,Forming,K-Band (IR),PROTO-MATTER,,,5209,18h40m27.2s -25d36m57s,1.05,0.9999,0.231,Forming,K-Band (IR),PROTO-MATTER,,,464,14h22m50.4s -19d30m17s,1.02,0.9999,0.224,Forming,K-Band (IR),PROTO-MATTER,,,160321,17h06m43.2s -70d26m12s,1.03,0.9999,0.227,Forming,K-Band (IR),PROTO-MATTER,,,2223,20h12m55.1s +42d44m56s,0.6,0.7933,0.208,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,Mode Matches,,,,,,,,,
,1355,08h49m13.7s -05d41m53s,1.04,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,,,,7033,19h15m24.5s -22d31m17s,0.91,0.9999,0.201,Forming,K-Band (IR),PROTO-MATTER,,,8721,11h58m48.9s -43d42m37s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4188,00h42m13.4s -30d54m15s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,5212,19h13m41.0s -27d14m20s,1.01,0.9999,0.223,Forming,K-Band (IR),PROTO-MATTER,,,468,14h29m59.3s -14d50m37s,0.91,0.9398,0.226,Forming,K-Band (IR),PROTO-MATTER,,,160381,16h10m11.1s -57d53m32s,1.03,0.9999,0.227,Forming,K-Band (IR),PROTO-MATTER,,,2235,23h51m33.5s +38d33m09s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5505,22h25m24.8s -13d40m02s,0.68,0.7857,0.243,Collapse,X-Ray / Gamma,SINGULARITY,
,1358,10h01m05.2s -07d45m26s,1,0.9999,0.221,Forming,K-Band (IR),PROTO-MATTER,,,,7040,23h45m44.9s -20d52m42s,0.98,0.9999,0.215,Forming,K-Band (IR),PROTO-MATTER,,,8722,11h15m29.9s -43d55m13s,0.39,0.7845,0.138,Collapse,X-Ray / Gamma,SINGULARITY,,,4199,15h19m37.0s -39d35m42s,1.06,0.9999,0.233,Forming,K-Band (IR),PROTO-MATTER,,,5217,22h04m57.7s -30d44m21s,1.18,0.9999,0.259,Forming,K-Band (IR),PROTO-MATTER,,,470,15h18m14.7s -13d06m60s,1.02,0.9999,0.225,Forming,K-Band (IR),PROTO-MATTER,,,160401,09h31m28.2s -72d19m55s,1.23,0.9999,0.272,Forming,K-Band (IR),PROTO-MATTER,,,2252,19h19m23.2s +40d42m09s,0.72,0.8077,0.244,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,5515,20h29m29.2s -15d14m13s,1.03,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,
,1364,09h12m06.4s -14d29m00s,0.48,0.7083,0.21,Collapse,X-Ray / Gamma,SINGULARITY,,,,7052,23h06m15.3s -11d11m39s,1.03,0.9999,0.226,Forming,K-Band (IR),PROTO-MATTER,,,8722,10h37m24.5s -44d11m31s,1.41,0.9999,0.311,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4209,18h43m42.1s -38d51m03s,0.76,0.8902,0.212,Collapse,X-Ray / Gamma,SINGULARITY,,,5219,22h53m34.7s -31d33m26s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,471,16h36m27.6s -11d24m16s,0.73,0.8463,0.224,Collapse,X-Ray / Gamma,SINGULARITY,,,160421,17h06m22.9s -81d03m08s,1.23,0.9999,0.271,Forming,K-Band (IR),PROTO-MATTER,,,2265,00h15m08.5s +49d30m16s,0.94,0.9999,0.206,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5526,19h19m06.5s -20d30m23s,0.76,0.8941,0.21,Collapse,X-Ray / Gamma,SINGULARITY,
,1366,07h16m49.8s -17d15m39s,1,0.9999,0.22,Forming,K-Band (IR),PROTO-MATTER,,,,7063,16h59m37.7s +00d17m21s,1.04,0.9999,0.228,Forming,K-Band (IR),PROTO-MATTER,,,8723,10h05m28.9s -44d31m27s,1.35,0.9999,0.297,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,4122,22h02m29.1s -29d21m23s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,5224,00h32m54.4s -34d00m42s,0.97,0.9999,0.212,Forming,K-Band (IR),PROTO-MATTER,,,473,18h02m20.5s -10d04m41s,1.05,0.9999,0.232,Forming,K-Band (IR),PROTO-MATTER,,,160542,19h12m18.5s -55d33m44s,0.93,0.9999,0.204,Forming,K-Band (IR),PROTO-MATTER,,,2267,01h07m50.6s +50d41m38s,0.8,0.8384,0.25,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,5553,16h36m44.5s -20d08m27s,1.05,0.9999,0.231,Forming,K-Band (IR),PROTO-MATTER,
,1366,06h45m48.3s -17d52m33s,0.71,0.8401,0.221,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,8727,09h20m07.6s -47d03m26s,1.31,0.9999,0.288,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,,,,,,,,,,5231,20h38m11.3s -33d58m22s,1.01,0.9999,0.222,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,Mode Matches,,,,,,,,,,,2291,20h19m31.4s +50d05m36s,1.07,0.9999,0.235,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5573,00h17m58.1s +00d05m25s,0.39,0.6266,0.219,Collapse,X-Ray / Gamma,SINGULARITY,
,,,,,,,,,,,,,,,,,,,,,,8730,11h07m58.3s -50d01m26s,1.38,0.9999,0.304,MAX STABILITY,V-Band (Yellow),IRON (Fe-56),,,,,,,,,,,,,5236,15h48m30.3s -30d39m37s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,160100,15h11m33.2s -73d28m23s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,2302,02h58m32.8s +39d03m58s,0.79,0.8585,0.237,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Filter for Proto-Matter,,,,,,,,,,,,,,,,,,,,Mode Matches,,,,,,,,,,,,,,,,,,,,,160171,15h18m04.8s -72d56m27s,0.73,0.8796,0.207,Collapse,X-Ray / Gamma,SINGULARITY,,,2304,02h11m57.1s +36d48m17s,1.13,0.9999,0.248,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8538,13h13m59.9s -60d39m56s,1.17,0.9999,0.257,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5204,19h25m52.7s -23d14m29s,0.77,0.9094,0.206,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,160221,13h28m36.5s -61d35m18s,1.07,0.9999,0.236,Forming,K-Band (IR),PROTO-MATTER,,,2312,19h26m44.9s +30d41m18s,0.89,0.8929,0.246,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8554,17h09m52.0s -55d00m46s,1.19,0.9999,0.263,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5206,18h54m34.9s -24d01m06s,0.62,0.8126,0.205,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,160321,17h06m43.2s -70d26m12s,1.03,0.9999,0.227,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8569,12h32m34.9s -54d34m57s,0.87,0.9029,0.234,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5209,18h40m27.2s -25d36m57s,1.05,0.9999,0.231,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,160381,16h10m11.1s -57d53m32s,1.03,0.9999,0.227,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8577,15h14m15.9s -57d43m01s,1.23,0.9999,0.27,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5212,19h13m41.0s -27d14m20s,1.01,0.9999,0.223,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,160399,10h03m38.4s -70d25m55s,0.69,0.8688,0.201,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8600,11h52m33.1s -68d12m19s,0.88,0.9999,0.193,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5224,00h32m54.4s -34d00m42s,0.97,0.9999,0.212,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,160427,12h05m04.9s -78d02m52s,0.71,0.8536,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8608,14h52m17.3s -67d05m51s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5231,20h38m11.3s -33d58m22s,1.01,0.9999,0.222,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,160542,19h12m18.5s -55d33m44s,0.93,0.9999,0.204,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8631,11h15m55.7s -51d33m23s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5236,15h48m30.3s -30d39m37s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8638,14h20m09.3s -48d41m01s,0.95,0.9999,0.209,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5237,15h07m24.4s -29d22m05s,0.78,0.8337,0.247,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8677,19h38m51.1s -73d05m37s,0.87,0.9999,0.191,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5238,14h53m17.8s -28d30m35s,0.4,0.6437,0.212,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8692,10h20m38.1s -66d22m31s,1.19,0.9999,0.261,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,5239,14h48m43.7s -27d54m17s,0.57,0.7678,0.214,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Mode Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8535,13h30m23.3s -61d49m33s,0.66,0.8088,0.222,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8545,15h07m19.2s -58d03m23s,0.59,0.7952,0.204,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8548,16h17m30.6s -56d51m13s,0.31,0.5791,0.204,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8569,12h32m34.9s -54d34m57s,0.87,0.9029,0.234,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8608,14h52m17.3s -67d05m51s,0.98,0.9999,0.216,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8618,18h22m09.2s -61d15m56s,0.68,0.8536,0.205,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8631,11h15m55.7s -51d33m23s,1.11,0.9999,0.244,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8638,14h20m09.3s -48d41m01s,0.95,0.9999,0.209,Forming,K-Band (IR),PROTO-MATTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8659,11h47m25.9s -59d53m53s,0.49,0.7109,0.215,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,8686,15h26m41.7s -71d21m07s,0.76,0.8497,0.231,Collapse,X-Ray / Gamma,SINGULARITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
